sentence,step,n_pairs,n_admitted,top_span,is_gold
"a dog chased",0,2,2,"(0, 1)",1
"a dog chased",1,1,1,"(0, 2)",1
"the lazy quick man admired a cat on a telescope",0,9,9,"(8, 9)",1
"the lazy quick man admired a cat on a telescope",1,8,8,"(1, 3)",1
"the lazy quick man admired a cat on a telescope",2,7,7,"(8, 9)",1
"the lazy quick man admired a cat on a telescope",3,6,6,"(8, 9)",1
"the lazy quick man admired a cat on a telescope",4,5,5,"(8, 9)",1
"the lazy quick man admired a cat on a telescope",5,4,4,"(7, 9)",1
"the lazy quick man admired a cat on a telescope",6,3,3,"(0, 4)",1
"the lazy quick man admired a cat on a telescope",7,2,2,"(0, 6)",1
"the lazy quick man admired a cat on a telescope",8,1,1,"(0, 9)",1
"the woman saw the dog on the woman",0,7,7,"(0, 1)",1
"the woman saw the dog on the woman",1,6,6,"(0, 2)",1
"the woman saw the dog on the woman",2,5,5,"(0, 2)",1
"the woman saw the dog on the woman",3,4,4,"(0, 2)",1
"the woman saw the dog on the woman",4,3,3,"(0, 2)",1
"the woman saw the dog on the woman",5,2,2,"(0, 4)",1
"the woman saw the dog on the woman",6,1,1,"(0, 7)",1
"a park liked",0,2,2,"(0, 1)",1
"a park liked",1,1,1,"(0, 2)",1
"a lazy lazy park found the lazy small lazy telescope",0,9,9,"(7, 8)",1
"a lazy lazy park found the lazy small lazy telescope",1,8,8,"(1, 3)",1
"a lazy lazy park found the lazy small lazy telescope",2,7,7,"(7, 8)",1
"a lazy lazy park found the lazy small lazy telescope",3,6,6,"(7, 8)",1
"a lazy lazy park found the lazy small lazy telescope",4,5,5,"(6, 8)",1
"a lazy lazy park found the lazy small lazy telescope",5,4,4,"(6, 9)",1
"a lazy lazy park found the lazy small lazy telescope",6,3,3,"(5, 9)",1
"a lazy lazy park found the lazy small lazy telescope",7,2,2,"(0, 4)",1
"a lazy lazy park found the lazy small lazy telescope",8,1,1,"(0, 9)",1
"the park chased the red small park",0,6,6,"(0, 1)",1
"the park chased the red small park",1,5,5,"(4, 5)",1
"the park chased the red small park",2,4,4,"(4, 6)",1
"the park chased the red small park",3,3,3,"(3, 6)",1
"the park chased the red small park",4,2,2,"(0, 2)",1
"the park chased the red small park",5,1,1,"(0, 6)",1
"the dog saw a man in the man",0,7,7,"(0, 1)",1
"the dog saw a man in the man",1,6,6,"(6, 7)",1
"the dog saw a man in the man",2,5,5,"(6, 7)",1
"the dog saw a man in the man",3,4,4,"(0, 2)",1
"the dog saw a man in the man",4,3,3,"(0, 2)",1
"the dog saw a man in the man",5,2,2,"(0, 4)",1
"the dog saw a man in the man",6,1,1,"(0, 7)",1
"a red small cat admired",0,4,4,"(1, 2)",1
"a red small cat admired",1,3,3,"(1, 3)",1
"a red small cat admired",2,2,2,"(0, 3)",1
"a red small cat admired",3,1,1,"(0, 4)",1
"a woman liked the big quick park under the woman",0,9,9,"(0, 1)",1
"a woman liked the big quick park under the woman",1,8,8,"(0, 2)",1
"a woman liked the big quick park under the woman",2,7,7,"(0, 2)",1
"a woman liked the big quick park under the woman",3,6,6,"(0, 2)",1
"a woman liked the big quick park under the woman",4,5,5,"(0, 2)",1
"a woman liked the big quick park under the woman",5,4,4,"(0, 2)",1
"a woman liked the big quick park under the woman",6,3,3,"(0, 2)",1
"a woman liked the big quick park under the woman",7,2,2,"(0, 6)",1
"a woman liked the big quick park under the woman",8,1,1,"(0, 9)",1
"the red red small telescope chased",0,5,5,"(2, 3)",1
"the red red small telescope chased",1,4,4,"(0, 1)",0
"the red red small telescope chased",2,3,3,"(1, 4)",1
"the red red small telescope chased",3,2,2,"(0, 4)",1
"the red red small telescope chased",4,1,1,"(0, 5)",1
"a telescope saw the lazy lazy cat under a woman",0,9,9,"(0, 1)",1
"a telescope saw the lazy lazy cat under a woman",1,8,8,"(8, 9)",1
"a telescope saw the lazy lazy cat under a woman",2,7,7,"(8, 9)",1
"a telescope saw the lazy lazy cat under a woman",3,6,6,"(8, 9)",1
"a telescope saw the lazy lazy cat under a woman",4,5,5,"(8, 9)",1
"a telescope saw the lazy lazy cat under a woman",5,4,4,"(0, 2)",1
"a telescope saw the lazy lazy cat under a woman",6,3,3,"(0, 2)",1
"a telescope saw the lazy lazy cat under a woman",7,2,2,"(0, 6)",1
"a telescope saw the lazy lazy cat under a woman",8,1,1,"(0, 9)",1
"the cat liked",0,2,2,"(0, 1)",1
"the cat liked",1,1,1,"(0, 2)",1
"the lazy big cat chased",0,4,4,"(1, 2)",1
"the lazy big cat chased",1,3,3,"(1, 3)",1
"the lazy big cat chased",2,2,2,"(0, 3)",1
"the lazy big cat chased",3,1,1,"(0, 4)",1
"a lazy red park admired",0,4,4,"(1, 2)",1
"a lazy red park admired",1,3,3,"(1, 3)",1
"a lazy red park admired",2,2,2,"(0, 3)",1
"a lazy red park admired",3,1,1,"(0, 4)",1
"a woman liked a dog with a man",0,7,7,"(0, 1)",1
"a woman liked a dog with a man",1,6,6,"(3, 4)",1
"a woman liked a dog with a man",2,5,5,"(6, 7)",1
"a woman liked a dog with a man",3,4,4,"(0, 2)",1
"a woman liked a dog with a man",4,3,3,"(0, 2)",1
"a woman liked a dog with a man",5,2,2,"(0, 4)",1
"a woman liked a dog with a man",6,1,1,"(0, 7)",1
"the dog liked the small quick cat in a telescope",0,9,9,"(0, 1)",1
"the dog liked the small quick cat in a telescope",1,8,8,"(4, 5)",1
"the dog liked the small quick cat in a telescope",2,7,7,"(8, 9)",1
"the dog liked the small quick cat in a telescope",3,6,6,"(8, 9)",1
"the dog liked the small quick cat in a telescope",4,5,5,"(8, 9)",1
"the dog liked the small quick cat in a telescope",5,4,4,"(7, 9)",1
"the dog liked the small quick cat in a telescope",6,3,3,"(0, 2)",1
"the dog liked the small quick cat in a telescope",7,2,2,"(0, 6)",1
"the dog liked the small quick cat in a telescope",8,1,1,"(0, 9)",1
"the big lazy woman chased the dog",0,6,6,"(1, 2)",1
"the big lazy woman chased the dog",1,5,5,"(1, 3)",1
"the big lazy woman chased the dog",2,4,4,"(0, 3)",1
"the big lazy woman chased the dog",3,3,3,"(5, 6)",1
"the big lazy woman chased the dog",4,2,2,"(0, 4)",1
"the big lazy woman chased the dog",5,1,1,"(0, 6)",1
"a woman chased a dog",0,4,4,"(0, 1)",1
"a woman chased a dog",1,3,3,"(3, 4)",1
"a woman chased a dog",2,2,2,"(0, 2)",1
"a woman chased a dog",3,1,1,"(0, 4)",1
"the lazy lazy woman found",0,4,4,"(1, 2)",1
"the lazy lazy woman found",1,3,3,"(1, 3)",1
"the lazy lazy woman found",2,2,2,"(0, 3)",1
"the lazy lazy woman found",3,1,1,"(0, 4)",1
"the telescope liked the red lazy small cat",0,7,7,"(0, 1)",1
"the telescope liked the red lazy small cat",1,6,6,"(4, 5)",0
"the telescope liked the red lazy small cat",2,5,5,"(4, 6)",1
"the telescope liked the red lazy small cat",3,4,4,"(0, 2)",1
"the telescope liked the red lazy small cat",4,3,3,"(3, 7)",1
"the telescope liked the red lazy small cat",5,2,2,"(0, 2)",1
"the telescope liked the red lazy small cat",6,1,1,"(0, 7)",1
"the small small telescope found a small red woman",0,8,8,"(0, 1)",0
"the small small telescope found a small red woman",1,7,7,"(1, 3)",1
"the small small telescope found a small red woman",2,6,6,"(0, 3)",1
"the small small telescope found a small red woman",3,5,5,"(5, 6)",0
"the small small telescope found a small red woman",4,4,4,"(6, 8)",1
"the small small telescope found a small red woman",5,3,3,"(0, 4)",1
"the small small telescope found a small red woman",6,2,2,"(0, 4)",1
"the small small telescope found a small red woman",7,1,1,"(0, 8)",1
"the woman liked a lazy lazy telescope",0,6,6,"(0, 1)",1
"the woman liked a lazy lazy telescope",1,5,5,"(4, 5)",1
"the woman liked a lazy lazy telescope",2,4,4,"(0, 2)",1
"the woman liked a lazy lazy telescope",3,3,3,"(3, 6)",1
"the woman liked a lazy lazy telescope",4,2,2,"(0, 2)",1
"the woman liked a lazy lazy telescope",5,1,1,"(0, 6)",1
"the telescope liked the telescope",0,4,4,"(0, 1)",1
"the telescope liked the telescope",1,3,3,"(3, 4)",1
"the telescope liked the telescope",2,2,2,"(0, 2)",1
"the telescope liked the telescope",3,1,1,"(0, 4)",1
"a cat saw a cat",0,4,4,"(0, 1)",1
"a cat saw a cat",1,3,3,"(0, 2)",1
"a cat saw a cat",2,2,2,"(0, 2)",1
"a cat saw a cat",3,1,1,"(0, 4)",1
"a big big cat chased",0,4,4,"(1, 2)",1
"a big big cat chased",1,3,3,"(1, 3)",1
"a big big cat chased",2,2,2,"(0, 3)",1
"a big big cat chased",3,1,1,"(0, 4)",1
"a park admired the small lazy cat on the park",0,9,9,"(4, 5)",1
"a park admired the small lazy cat on the park",1,8,8,"(4, 5)",1
"a park admired the small lazy cat on the park",2,7,7,"(8, 9)",1
"a park admired the small lazy cat on the park",3,6,6,"(8, 9)",1
"a park admired the small lazy cat on the park",4,5,5,"(8, 9)",1
"a park admired the small lazy cat on the park",5,4,4,"(7, 9)",1
"a park admired the small lazy cat on the park",6,3,3,"(0, 2)",1
"a park admired the small lazy cat on the park",7,2,2,"(0, 6)",1
"a park admired the small lazy cat on the park",8,1,1,"(0, 9)",1
"a park admired the red lazy woman",0,6,6,"(0, 1)",1
"a park admired the red lazy woman",1,5,5,"(4, 5)",1
"a park admired the red lazy woman",2,4,4,"(0, 2)",1
"a park admired the red lazy woman",3,3,3,"(3, 6)",1
"a park admired the red lazy woman",4,2,2,"(0, 2)",1
"a park admired the red lazy woman",5,1,1,"(0, 6)",1
"the man saw",0,2,2,"(0, 1)",1
"the man saw",1,1,1,"(0, 2)",1
"a dog saw",0,2,2,"(0, 1)",1
"a dog saw",1,1,1,"(0, 2)",1
"the big quick cat found",0,4,4,"(1, 2)",1
"the big quick cat found",1,3,3,"(1, 3)",1
"the big quick cat found",2,2,2,"(0, 3)",1
"the big quick cat found",3,1,1,"(0, 4)",1
"the dog saw the woman",0,4,4,"(0, 1)",1
"the dog saw the woman",1,3,3,"(0, 2)",1
"the dog saw the woman",2,2,2,"(0, 2)",1
"the dog saw the woman",3,1,1,"(0, 4)",1
"a small lazy quick man saw",0,5,5,"(2, 3)",1
"a small lazy quick man saw",1,4,4,"(2, 4)",0
"a small lazy quick man saw",2,3,3,"(1, 4)",1
"a small lazy quick man saw",3,2,2,"(0, 4)",1
"a small lazy quick man saw",4,1,1,"(0, 5)",1
"a big quick park admired a dog on the woman",0,9,9,"(1, 2)",1
"a big quick park admired a dog on the woman",1,8,8,"(1, 3)",1
"a big quick park admired a dog on the woman",2,7,7,"(0, 3)",1
"a big quick park admired a dog on the woman",3,6,6,"(0, 4)",1
"a big quick park admired a dog on the woman",4,5,5,"(0, 4)",1
"a big quick park admired a dog on the woman",5,4,4,"(0, 4)",1
"a big quick park admired a dog on the woman",6,3,3,"(0, 4)",1
"a big quick park admired a dog on the woman",7,2,2,"(5, 9)",0
"a big quick park admired a dog on the woman",8,1,1,"(0, 9)",1
"a man admired",0,2,2,"(0, 1)",1
"a man admired",1,1,1,"(0, 2)",1
"a man admired a quick small cat with a telescope",0,9,9,"(0, 1)",1
"a man admired a quick small cat with a telescope",1,8,8,"(4, 5)",1
"a man admired a quick small cat with a telescope",2,7,7,"(8, 9)",1
"a man admired a quick small cat with a telescope",3,6,6,"(3, 6)",1
