sentence,gold_brackets,pred_brackets,tp,fp,fn
"a dog chased","[(0, 1), (0, 2)]","[(0, 1), (0, 2)]",2,0,0
"the lazy quick man admired a cat on a telescope","[(0, 3), (0, 4), (0, 6), (0, 9), (1, 2), (1, 3), (5, 6), (7, 9), (8, 9)]","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6), (8, 9)]",7,0,2
"the woman saw the dog on the woman","[(0, 1), (0, 2), (0, 4), (0, 7), (3, 4), (5, 7), (6, 7)]","[(0, 1), (0, 2), (0, 4), (0, 7), (3, 4), (5, 7), (6, 7)]",7,0,0
"a park liked","[(0, 1), (0, 2)]","[(0, 1), (0, 2)]",2,0,0
"a lazy lazy park found the lazy small lazy telescope","[(0, 3), (0, 4), (0, 9), (1, 2), (1, 3), (5, 9), (6, 8), (6, 9), (7, 8)]","[(0, 3), (0, 4), (0, 9), (1, 2), (1, 3), (5, 9), (6, 8), (6, 9), (7, 8)]",9,0,0
"the park chased the red small park","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6)]","[(0, 1), (3, 6), (4, 5), (4, 6)]",4,0,2
"the dog saw a man in the man","[(0, 1), (0, 2), (0, 4), (0, 7), (3, 4), (5, 7), (6, 7)]","[(0, 1), (0, 2), (0, 4), (3, 4), (6, 7)]",5,0,2
"a red small cat admired","[(0, 3), (0, 4), (1, 2), (1, 3)]","[(0, 3), (0, 4), (1, 2), (1, 3)]",4,0,0
"a woman liked the big quick park under the woman","[(0, 1), (0, 2), (0, 6), (0, 9), (3, 6), (4, 5), (4, 6), (7, 9), (8, 9)]","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6), (8, 9)]",7,0,2
"the red red small telescope chased","[(0, 4), (0, 5), (1, 3), (1, 4), (2, 3)]","[(0, 1), (0, 4), (0, 5), (2, 3), (2, 4)]",3,2,2
"a telescope saw the lazy lazy cat under a woman","[(0, 1), (0, 2), (0, 6), (0, 9), (3, 6), (4, 5), (4, 6), (7, 9), (8, 9)]","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6), (8, 9)]",7,0,2
"the cat liked","[(0, 1), (0, 2)]","[(0, 1), (0, 2)]",2,0,0
"the lazy big cat chased","[(0, 3), (0, 4), (1, 2), (1, 3)]","[(0, 3), (0, 4), (1, 2), (1, 3)]",4,0,0
"a lazy red park admired","[(0, 3), (0, 4), (1, 2), (1, 3)]","[(0, 3), (0, 4), (1, 2), (1, 3)]",4,0,0
"a woman liked a dog with a man","[(0, 1), (0, 2), (0, 4), (0, 7), (3, 4), (5, 7), (6, 7)]","[(0, 1), (0, 2), (0, 4), (0, 7), (3, 4), (5, 7), (6, 7)]",7,0,0
"the dog liked the small quick cat in a telescope","[(0, 1), (0, 2), (0, 6), (0, 9), (3, 6), (4, 5), (4, 6), (7, 9), (8, 9)]","[(0, 1), (0, 2), (0, 6), (0, 9), (3, 6), (4, 5), (4, 6), (7, 9), (8, 9)]",9,0,0
"the big lazy woman chased the dog","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]",6,0,0
"a woman chased a dog","[(0, 1), (0, 2), (0, 4), (3, 4)]","[(0, 1), (0, 2), (0, 4), (3, 4)]",4,0,0
"the lazy lazy woman found","[(0, 3), (0, 4), (1, 2), (1, 3)]","[(0, 3), (0, 4), (1, 2), (1, 3)]",4,0,0
"the telescope liked the red lazy small cat","[(0, 1), (0, 2), (0, 7), (3, 7), (4, 6), (4, 7), (5, 6)]","[(0, 1), (0, 2), (0, 5), (0, 7), (3, 5), (4, 5), (6, 7)]",3,4,4
"the small small telescope found a small red woman","[(0, 3), (0, 4), (0, 8), (1, 2), (1, 3), (5, 8), (6, 7), (6, 8)]","[(0, 1), (0, 3), (2, 3), (5, 6), (5, 8), (7, 8)]",2,4,6
"the woman liked a lazy lazy telescope","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6)]","[(0, 1), (0, 2), (0, 3), (0, 6), (4, 5), (4, 6)]",5,1,1
"the telescope liked the telescope","[(0, 1), (0, 2), (0, 4), (3, 4)]","[(0, 1), (0, 2), (0, 4), (3, 4)]",4,0,0
"a cat saw a cat","[(0, 1), (0, 2), (0, 4), (3, 4)]","[(0, 1), (0, 2), (0, 4), (3, 4)]",4,0,0
"a big big cat chased","[(0, 3), (0, 4), (1, 2), (1, 3)]","[(0, 3), (0, 4), (1, 2), (1, 3)]",4,0,0
"a park admired the small lazy cat on the park","[(0, 1), (0, 2), (0, 6), (0, 9), (3, 6), (4, 5), (4, 6), (7, 9), (8, 9)]","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6), (8, 9)]",7,0,2
"a park admired the red lazy woman","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6)]","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6)]",6,0,0
"the man saw","[(0, 1), (0, 2)]","[(0, 1), (0, 2)]",2,0,0
"a dog saw","[(0, 1), (0, 2)]","[(0, 1), (0, 2)]",2,0,0
"the big quick cat found","[(0, 3), (0, 4), (1, 2), (1, 3)]","[(0, 3), (0, 4), (1, 2), (1, 3)]",4,0,0
"the dog saw the woman","[(0, 1), (0, 2), (0, 4), (3, 4)]","[(0, 1), (0, 2), (0, 4), (3, 4)]",4,0,0
"a small lazy quick man saw","[(0, 4), (0, 5), (1, 3), (1, 4), (2, 3)]","[(0, 1), (3, 4), (3, 5)]",0,3,5
"a big quick park admired a dog on the woman","[(0, 3), (0, 4), (0, 6), (0, 9), (1, 2), (1, 3), (5, 6), (7, 9), (8, 9)]","[(0, 3), (0, 4), (0, 9), (1, 2), (1, 3), (5, 6), (5, 9), (7, 9), (8, 9)]",8,1,1
"a man admired","[(0, 1), (0, 2)]","[(0, 1), (0, 2)]",2,0,0
"a man admired a quick small cat with a telescope","[(0, 1), (0, 2), (0, 6), (0, 9), (3, 6), (4, 5), (4, 6), (7, 9), (8, 9)]","[(0, 1), (0, 2), (0, 6), (0, 9), (3, 6), (4, 5), (4, 6), (7, 9), (8, 9)]",9,0,0
"a woman liked a small lazy dog in a dog","[(0, 1), (0, 2), (0, 6), (0, 9), (3, 6), (4, 5), (4, 6), (7, 9), (8, 9)]","[(0, 1), (0, 2), (0, 6), (0, 9), (3, 6), (4, 5), (4, 6), (7, 9), (8, 9)]",9,0,0
"the lazy red quick small dog admired","[(0, 5), (0, 6), (1, 4), (1, 5), (2, 4), (3, 4)]","[(0, 2), (0, 5), (0, 6), (1, 2), (3, 4), (3, 5)]",3,3,3
"a lazy quick lazy man chased","[(0, 4), (0, 5), (1, 3), (1, 4), (2, 3)]","[(0, 3), (0, 4), (0, 5), (1, 3), (2, 3)]",4,1,1
"a cat found","[(0, 1), (0, 2)]","[(0, 1), (0, 2)]",2,0,0
"the man found","[(0, 1), (0, 2)]","[(0, 1), (0, 2)]",2,0,0
