sentence,step,n_pairs,n_admitted,top_span,is_gold
"a robot liked without this tall blue book",0,7,7,"(5, 6)",1
"a robot liked without this tall blue book",1,6,6,"(5, 6)",1
"a robot liked without this tall blue book",2,5,5,"(5, 7)",1
"a robot liked without this tall blue book",3,4,4,"(0, 2)",1
"a robot liked without this tall blue book",4,3,3,"(0, 2)",1
"a robot liked without this tall blue book",5,2,2,"(0, 2)",1
"a robot liked without this tall blue book",6,1,1,"(0, 7)",1
"that apple chased a book",0,4,4,"(0, 1)",1
"that apple chased a book",1,3,3,"(3, 4)",1
"that apple chased a book",2,2,2,"(0, 2)",1
"that apple chased a book",3,1,1,"(0, 4)",1
"a friendly curious apple admired without that book",0,7,7,"(1, 2)",1
"a friendly curious apple admired without that book",1,6,6,"(1, 3)",1
"a friendly curious apple admired without that book",2,5,5,"(0, 3)",1
"a friendly curious apple admired without that book",3,4,4,"(0, 4)",1
"a friendly curious apple admired without that book",4,3,3,"(0, 4)",1
"a friendly curious apple admired without that book",5,2,2,"(0, 4)",1
"a friendly curious apple admired without that book",6,1,1,"(0, 7)",1
"that boy saw this curious tall robot",0,6,6,"(4, 5)",1
"that boy saw this curious tall robot",1,5,5,"(4, 5)",1
"that boy saw this curious tall robot",2,4,4,"(4, 6)",1
"that boy saw this curious tall robot",3,3,3,"(3, 6)",1
"that boy saw this curious tall robot",4,2,2,"(0, 2)",1
"that boy saw this curious tall robot",5,1,1,"(0, 6)",1
"the teacher read this boy",0,4,4,"(3, 4)",1
"the teacher read this boy",1,3,3,"(3, 4)",1
"the teacher read this boy",2,2,2,"(0, 2)",1
"the teacher read this boy",3,1,1,"(0, 4)",1
"this girl carried with this girl",0,5,5,"(1, 2)",0
"this girl carried with this girl",1,4,4,"(0, 2)",1
"this girl carried with this girl",2,3,3,"(0, 2)",1
"this girl carried with this girl",3,2,2,"(0, 2)",1
"this girl carried with this girl",4,1,1,"(0, 5)",1
"that book carried this tall friendly tall robot",0,7,7,"(0, 1)",1
"that book carried this tall friendly tall robot",1,6,6,"(5, 6)",1
"that book carried this tall friendly tall robot",2,5,5,"(0, 2)",1
"that book carried this tall friendly tall robot",3,4,4,"(0, 2)",1
"that book carried this tall friendly tall robot",4,3,3,"(0, 2)",1
"that book carried this tall friendly tall robot",5,2,2,"(0, 2)",1
"that book carried this tall friendly tall robot",6,1,1,"(0, 7)",1
"a boy liked the blue tall book",0,6,6,"(4, 5)",1
"a boy liked the blue tall book",1,5,5,"(4, 5)",1
"a boy liked the blue tall book",2,4,4,"(4, 6)",1
"a boy liked the blue tall book",3,3,3,"(3, 6)",1
"a boy liked the blue tall book",4,2,2,"(0, 2)",1
"a boy liked the blue tall book",5,1,1,"(0, 6)",1
"this friendly blue friendly girl chased without the girl",0,8,8,"(7, 8)",1
