idx,in_lexicon,grammatical,novel,text
0,1,1,0,"a blue friendly girl saw that tall ancient teacher"
1,1,1,1,"a teacher chased with this teacher that admired this book"
2,1,1,0,"a blue curious boy liked a blue friendly friendly apple"
3,1,1,0,"the robot admired near this apple"
4,1,1,0,"this girl read this boy"
5,1,1,0,"the robot chased this tall tall book"
6,1,1,1,"this book admired a friendly friendly robot"
7,1,1,1,"that teacher chased with a boy"
8,1,1,0,"the friendly friendly girl read a friendly ancient boy"
9,1,1,0,"the book that read without a boy read this boy"
10,1,1,0,"that blue curious teacher chased this robot"
11,1,1,0,"this robot liked without this teacher"
12,1,1,0,"the friendly friendly girl read a friendly ancient boy"
13,1,1,1,"that teacher chased with a girl"
14,1,1,0,"the boy chased with a apple"
15,1,1,1,"this tall tall robot carried near the curious friendly robot"
16,1,1,1,"a curious blue apple chased near this ancient blue apple"
17,1,1,1,"the robot saw a boy near that tall blue apple"
18,1,1,1,"a tall ancient girl read that friendly curious boy"
19,1,1,1,"that blue curious teacher saw with this robot"
20,1,1,1,"that friendly ancient book liked that girl"
21,1,1,0,"this book admired this apple"
22,1,1,0,"the boy carried near the apple"
23,1,1,0,"that boy liked a boy near a book"
24,1,1,1,"this ancient ancient friendly robot read this girl"
25,1,1,0,"a teacher liked that curious tall ancient girl"
26,1,1,1,"that book chased the tall blue teacher"
27,1,1,0,"that tall blue boy read a book"
28,1,1,0,"this book carried that tall blue girl near a teacher"
29,1,1,0,"a apple saw the ancient tall robot without that apple"
30,1,1,1,"a blue curious boy liked this friendly blue boy"
31,1,1,1,"that apple chased a blue friendly girl"
32,1,1,1,"a blue tall robot admired near a book"
33,1,1,1,"that friendly curious boy admired without the tall blue apple"
34,1,1,1,"this friendly friendly girl read with that curious ancient girl"
35,1,1,0,"a girl saw a robot without a tall tall teacher"
36,1,1,0,"a curious tall teacher read a apple"
37,1,1,0,"a apple carried this boy near this boy"
38,1,1,1,"the teacher liked the teacher without this blue blue boy"
39,1,1,0,"this friendly blue book admired this robot"
40,1,1,1,"a apple chased without a ancient ancient apple"
41,1,1,0,"the book that read without a boy read this boy"
42,1,1,0,"that apple carried a curious tall tall boy"
43,1,1,1,"this book saw the boy"
44,1,1,0,"that ancient friendly book carried without that book"
45,1,1,1,"a blue blue boy admired without the ancient ancient book"
46,1,1,1,"a apple chased the tall blue girl"
47,1,1,1,"a book carried near a friendly blue robot"
48,1,1,0,"this book chased with that boy"
49,1,1,1,"the curious blue apple read that teacher"
