sentence,gold_brackets,pred_brackets,tp,fp,fn
"that tall curious girl carried with that girl","[(0, 3), (0, 4), (0, 7), (1, 2), (1, 3), (5, 7), (6, 7)]","[(0, 3), (0, 4), (0, 7), (1, 2), (1, 3), (5, 7), (6, 7)]",7,0,0
"the girl who read a teacher saw with the boy","[(0, 5), (0, 6), (0, 9), (1, 5), (2, 5), (3, 5), (4, 5), (7, 9), (8, 9)]","[(0, 1), (4, 5), (4, 6), (4, 9), (7, 9), (8, 9)]",3,3,6
"the boy read with the curious tall robot","[(0, 1), (0, 2), (0, 7), (3, 7), (4, 7), (5, 6), (5, 7)]","[(0, 1), (0, 2), (0, 7), (3, 7), (4, 7), (5, 6), (5, 7)]",7,0,0
"a girl saw a curious friendly teacher near the girl","[(0, 1), (0, 2), (0, 6), (0, 9), (3, 6), (4, 5), (4, 6), (7, 9), (8, 9)]","[(0, 1), (0, 2), (0, 9), (3, 6), (3, 9), (4, 5), (4, 6), (7, 9), (8, 9)]",8,1,1
"the boy liked this friendly blue robot","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6)]","[(0, 1), (0, 6), (2, 6), (3, 6), (4, 5), (4, 6)]",5,1,1
"a curious blue boy saw a blue friendly book","[(0, 3), (0, 4), (0, 8), (1, 2), (1, 3), (5, 8), (6, 7), (6, 8)]","[(0, 3), (0, 8), (1, 2), (1, 3), (4, 8), (5, 8), (6, 7), (6, 8)]",7,1,1
"that book liked with the boy","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]",5,0,0
"this tall tall robot carried near the blue ancient robot","[(0, 3), (0, 4), (0, 9), (1, 2), (1, 3), (5, 9), (6, 9), (7, 8), (7, 9)]","[(0, 3), (0, 4), (0, 9), (1, 2), (1, 3), (5, 9), (6, 9), (7, 8), (7, 9)]",9,0,0
"the robot liked this girl","[(0, 1), (0, 2), (0, 4), (3, 4)]","[(0, 1), (0, 2), (0, 4), (3, 4)]",4,0,0
"the friendly blue girl admired this apple","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]",6,0,0
"that ancient friendly book carried without that book","[(0, 3), (0, 4), (0, 7), (1, 2), (1, 3), (5, 7), (6, 7)]","[(0, 3), (0, 4), (0, 7), (1, 2), (1, 3), (5, 7), (6, 7)]",7,0,0
"the girl admired without a friendly ancient robot","[(0, 1), (0, 2), (0, 7), (3, 7), (4, 7), (5, 6), (5, 7)]","[(0, 1), (0, 2), (0, 7), (3, 7), (4, 7), (5, 6), (5, 7)]",7,0,0
"this blue blue girl liked without that girl","[(0, 3), (0, 4), (0, 7), (1, 2), (1, 3), (5, 7), (6, 7)]","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 7), (5, 7), (6, 7)]",5,2,2
"a apple read this boy","[(0, 1), (0, 2), (0, 4), (3, 4)]","[(0, 1), (0, 2), (0, 4), (3, 4)]",4,0,0
"a teacher read with this blue friendly girl","[(0, 1), (0, 2), (0, 7), (3, 7), (4, 7), (5, 6), (5, 7)]","[(0, 1), (0, 2), (0, 7), (3, 7), (4, 7), (5, 6), (5, 7)]",7,0,0
"a curious blue robot read near a teacher","[(0, 3), (0, 4), (0, 7), (1, 2), (1, 3), (5, 7), (6, 7)]","[(0, 4), (0, 7), (1, 2), (1, 3), (1, 4), (5, 7), (6, 7)]",6,1,1
"the book chased this tall ancient friendly girl","[(0, 1), (0, 2), (0, 7), (3, 7), (4, 6), (4, 7), (5, 6)]","[(0, 1), (0, 2), (0, 7), (3, 6), (3, 7), (4, 5), (4, 6)]",5,2,2
"the teacher read this robot","[(0, 1), (0, 2), (0, 4), (3, 4)]","[(0, 1), (0, 2), (0, 4), (3, 4)]",4,0,0
"the girl chased without a apple","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]",5,0,0
"a friendly blue ancient teacher chased with this robot","[(0, 4), (0, 5), (0, 8), (1, 3), (1, 4), (2, 3), (6, 8), (7, 8)]","[(0, 2), (0, 3), (0, 8), (1, 2), (4, 5), (4, 8), (6, 8), (7, 8)]",3,5,5
"a boy liked that robot","[(0, 1), (0, 2), (0, 4), (3, 4)]","[(0, 1), (0, 2), (0, 4), (3, 4)]",4,0,0
"the blue blue teacher saw without this apple","[(0, 3), (0, 4), (0, 7), (1, 2), (1, 3), (5, 7), (6, 7)]","[(0, 3), (0, 4), (0, 7), (1, 2), (1, 3), (5, 7), (6, 7)]",7,0,0
"the book read this tall ancient apple without a boy","[(0, 1), (0, 2), (0, 6), (0, 9), (3, 6), (4, 5), (4, 6), (7, 9), (8, 9)]","[(0, 1), (0, 2), (0, 6), (0, 9), (3, 6), (4, 5), (4, 6), (7, 9), (8, 9)]",9,0,0
"the tall ancient tall book read with a teacher","[(0, 4), (0, 5), (0, 8), (1, 3), (1, 4), (2, 3), (6, 8), (7, 8)]","[(0, 4), (0, 5), (0, 8), (1, 3), (1, 4), (2, 3), (6, 8), (7, 8)]",8,0,0
"this curious curious girl liked near a boy","[(0, 3), (0, 4), (0, 7), (1, 2), (1, 3), (5, 7), (6, 7)]","[(0, 3), (0, 4), (0, 7), (1, 2), (1, 3), (5, 7), (6, 7)]",7,0,0
