idx,sentence,mask_pos,gold,gold_pos,filled,filled_pos,completed,exact,pos_ok
0,"that tall curious girl carried with that girl",4,carried,V,carried,V,"that tall curious girl carried with that girl",1,1
1,"the girl who read a teacher saw with the boy",5,teacher,N,boy,N,"the girl who read a boy saw with the boy",0,1
2,"the boy read with the curious tall robot",4,the,Det,a,Det,"the boy read with a curious tall robot",0,1
3,"a girl saw a curious friendly teacher near the girl",5,friendly,Adj,ancient,Adj,"a girl saw a curious ancient teacher near the girl",0,1
4,"the boy liked this friendly blue robot",3,this,Det,this,Det,"the boy liked this friendly blue robot",1,1
5,"a curious blue boy saw a blue friendly book",4,saw,V,liked,V,"a curious blue boy liked a blue friendly book",0,1
6,"that book liked with the boy",3,with,P,near,P,"that book liked near the boy",0,1
7,"this tall tall robot carried near the blue ancient robot",5,near,P,near,P,"this tall tall robot carried near the blue ancient robot",1,1
8,"the robot liked this girl",2,liked,V,read,V,"the robot read this girl",0,1
9,"the friendly blue girl admired this apple",3,girl,N,apple,N,"the friendly blue apple admired this apple",0,1
10,"that ancient friendly book carried without that book",4,carried,V,admired,V,"that ancient friendly book admired without that book",0,1
11,"the girl admired without a friendly ancient robot",4,a,Det,a,Det,"the girl admired without a friendly ancient robot",1,1
12,"this blue blue girl liked without that girl",4,liked,V,chased,V,"this blue blue girl chased without that girl",0,1
13,"a apple read this boy",2,read,V,saw,V,"a apple saw this boy",0,1
14,"a teacher read with this blue friendly girl",4,this,Det,this,Det,"a teacher read with this blue friendly girl",1,1
15,"a curious blue robot read near a teacher",4,read,V,saw,V,"a curious blue robot saw near a teacher",0,1
16,"the book chased this tall ancient friendly girl",4,tall,Adj,friendly,Adj,"the book chased this friendly ancient friendly girl",0,1
17,"the teacher read this robot",2,read,V,chased,V,"the teacher chased this robot",0,1
18,"the girl chased without a apple",3,without,P,near,P,"the girl chased near a apple",0,1
19,"a friendly blue ancient teacher chased with this robot",4,teacher,N,apple,N,"a friendly blue ancient apple chased with this robot",0,1
20,"a boy liked that robot",2,liked,V,saw,V,"a boy saw that robot",0,1
21,"the blue blue teacher saw without this apple",4,saw,V,chased,V,"the blue blue teacher chased without this apple",0,1
22,"the book read this tall ancient apple without a boy",5,ancient,Adj,ancient,Adj,"the book read this tall ancient apple without a boy",1,1
23,"the tall ancient tall book read with a teacher",4,book,N,robot,N,"the tall ancient tall robot read with a teacher",0,1
24,"this curious curious girl liked near a boy",4,liked,V,read,V,"this curious curious girl read near a boy",0,1
25,"a apple carried this boy near this boy",4,boy,N,teacher,N,"a apple carried this teacher near this boy",0,1
26,"this curious tall curious book chased the apple",4,book,N,boy,N,"this curious tall curious boy chased the apple",0,1
27,"that tall curious apple carried this curious blue tall boy",5,this,Det,that,RelPro,"that tall curious apple carried that curious blue tall boy",0,0
28,"a book chased a curious ancient ancient teacher",4,curious,Adj,curious,Adj,"a book chased a curious ancient ancient teacher",1,1
29,"this tall tall girl read with that blue ancient girl",5,with,P,with,P,"this tall tall girl read with that blue ancient girl",1,1
