idx,in_lexicon,grammatical,novel,text
0,1,1,0,"this ancient blue boy saw without a girl"
1,1,1,1,"that ancient curious curious teacher admired this friendly blue girl"
2,1,1,1,"a robot liked that curious tall tall girl"
3,1,1,0,"this boy saw the boy"
4,1,1,0,"this friendly friendly girl saw near the book"
5,1,1,0,"that curious blue blue teacher read near that book"
6,1,1,0,"a teacher admired with that book"
7,1,1,0,"a boy carried a ancient ancient apple without a robot"
8,1,1,1,"that girl admired this curious ancient girl"
9,1,1,1,"this robot liked the teacher without this ancient ancient book"
10,1,1,0,"a robot liked without this tall blue book"
11,1,1,1,"a tall ancient girl read that blue curious boy"
12,1,1,0,"a apple carried with this tall blue teacher"
13,1,1,1,"that robot liked this apple without this robot"
14,1,1,1,"that teacher chased the ancient tall girl"
15,1,1,1,"that apple saw a ancient curious apple near that book"
16,1,1,0,"the curious ancient girl read with that ancient curious robot"
17,1,1,1,"that boy read that blue curious boy"
18,1,1,0,"that teacher saw that blue tall girl"
19,1,1,0,"this ancient friendly boy read near that boy"
20,1,1,0,"this girl carried with this girl"
21,1,1,1,"the book saw with a girl"
22,1,1,1,"this friendly curious robot liked a friendly ancient ancient book"
23,1,1,0,"that teacher admired near the book"
24,1,1,0,"the robot chased this tall tall book"
25,1,1,0,"that apple saw that boy"
26,1,1,1,"that tall friendly tall apple liked the book"
27,1,0,1,"that a girl chased saw a curious ancient boy"
28,1,1,1,"this friendly blue friendly girl chased without the book"
29,1,1,1,"that friendly ancient book liked this ancient tall teacher"
30,1,1,0,"a book chased without this friendly friendly teacher"
31,1,1,0,"that teacher admired near the book"
32,1,1,1,"that apple admired without the curious ancient apple"
33,1,1,0,"this girl read a friendly friendly friendly apple"
34,1,1,1,"the girl chased this robot"
35,1,1,0,"this apple carried near the teacher"
36,1,1,1,"this book chased with that book"
37,1,1,1,"that girl admired the ancient blue teacher"
38,1,1,0,"that apple chased a blue tall girl"
39,1,0,1,"that friendly friendly book saw that apple this girl read this boy"
40,1,1,1,"this tall curious girl admired that boy"
41,1,1,1,"a curious blue boy liked a ancient blue blue apple"
42,1,1,0,"a friendly curious blue apple saw this robot"
43,1,1,0,"that apple chased a book"
44,1,1,1,"this robot liked the teacher without this ancient ancient book"
45,1,1,1,"the tall curious teacher admired with this robot"
46,1,1,1,"the robot saw a boy without the girl"
47,1,1,1,"that friendly friendly apple chased with a boy"
48,1,1,0,"this friendly friendly girl saw near the book"
49,1,1,1,"that ancient tall teacher admired a friendly friendly robot"
