idx,in_lexicon,grammatical,novel,text
0,1,1,0,"a woman admired"
1,1,1,0,"the dog saw the woman"
2,1,1,0,"the red red small telescope chased"
3,1,1,0,"a dog found a man"
4,1,1,0,"the big lazy telescope liked"
5,1,1,0,"a man saw"
6,1,1,0,"a telescope saw the lazy lazy cat under a woman"
7,1,1,0,"a park chased"
8,1,1,1,"the small small telescope chased"
9,1,1,0,"a lazy big cat saw the dog"
10,1,1,1,"the red big woman liked"
11,1,1,0,"the park chased the small red red telescope"
12,1,1,0,"the park chased the small red red telescope"
13,1,1,1,"a big lazy man chased"
14,1,1,1,"the small lazy park found a telescope with the woman"
15,1,1,0,"the woman found"
16,1,1,0,"a small big woman found a lazy big woman"
17,1,1,0,"the big small small red man admired a cat"
18,1,1,0,"the telescope liked a dog on the woman"
19,1,1,0,"the red big dog liked"
20,1,1,0,"a dog found"
21,1,1,0,"the red quick woman saw the woman"
22,1,1,0,"the cat saw"
23,1,1,0,"a park found the dog"
24,1,1,0,"the woman admired the cat with the park"
25,1,1,0,"a woman liked the big quick park under the woman"
26,1,1,1,"a telescope admired the small lazy cat on the park"
27,1,1,0,"the big small small red man admired a cat"
28,1,1,0,"a telescope chased a big red dog in a park"
29,1,1,0,"the dog saw the red small park"
30,1,1,1,"the woman liked a small red small telescope"
31,1,1,0,"the woman admired the big red red dog"
32,1,1,0,"the red small park admired a dog"
33,1,1,0,"a woman chased"
34,1,1,0,"the lazy big quick woman admired"
35,1,1,0,"a park admired the cat"
36,1,1,1,"the big lazy quick big woman liked"
37,1,1,1,"a quick red telescope saw the big quick man"
38,1,1,1,"the woman chased the telescope"
39,1,1,1,"a big big cat found a lazy big woman"
40,1,1,0,"a telescope found"
41,1,1,0,"a park chased the telescope"
42,1,1,0,"the lazy big quick woman admired"
43,1,1,0,"a woman chased"
44,1,1,1,"a big small woman admired"
45,1,1,0,"the lazy lazy dog liked"
46,1,1,1,"a lazy small telescope liked a small quick woman"
47,1,1,0,"a red red man found"
48,1,1,0,"a woman saw"
49,1,1,0,"a quick red telescope saw the quick lazy woman"
