sentence,step,n_pairs,n_admitted,top_span,is_gold
"a woman admired the park",0,4,4,"(0, 1)",1
"a woman admired the park",1,3,3,"(0, 2)",1
"a woman admired the park",2,2,2,"(0, 2)",1
"a woman admired the park",3,1,1,"(0, 4)",1
"the small lazy man found a lazy red small man",0,9,9,"(7, 8)",1
"the small lazy man found a lazy red small man",1,8,8,"(7, 8)",1
"the small lazy man found a lazy red small man",2,7,7,"(0, 3)",1
"the small lazy man found a lazy red small man",3,6,6,"(0, 4)",1
"the small lazy man found a lazy red small man",4,5,5,"(0, 4)",1
"the small lazy man found a lazy red small man",5,4,4,"(0, 4)",1
"the small lazy man found a lazy red small man",6,3,3,"(0, 4)",1
"the small lazy man found a lazy red small man",7,2,2,"(0, 4)",1
"the small lazy man found a lazy red small man",8,1,1,"(0, 9)",1
"the cat chased",0,2,2,"(0, 1)",1
"the cat chased",1,1,1,"(0, 2)",1
"the big quick park saw the quick quick quick cat",0,9,9,"(1, 2)",1
"the big quick park saw the quick quick quick cat",1,8,8,"(6, 7)",0
"the big quick park saw the quick quick quick cat",2,7,7,"(0, 3)",1
"the big quick park saw the quick quick quick cat",3,6,6,"(6, 7)",0
"the big quick park saw the quick quick quick cat",4,5,5,"(0, 4)",1
"the big quick park saw the quick quick quick cat",5,4,4,"(6, 9)",1
"the big quick park saw the quick quick quick cat",6,3,3,"(0, 4)",1
"the big quick park saw the quick quick quick cat",7,2,2,"(0, 4)",1
"the big quick park saw the quick quick quick cat",8,1,1,"(0, 9)",1
"the man chased a park with the park",0,7,7,"(6, 7)",1
"the man chased a park with the park",1,6,6,"(6, 7)",1
"the man chased a park with the park",2,5,5,"(6, 7)",1
"the man chased a park with the park",3,4,4,"(0, 2)",1
"the man chased a park with the park",4,3,3,"(0, 2)",1
"the man chased a park with the park",5,2,2,"(0, 4)",1
"the man chased a park with the park",6,1,1,"(0, 7)",1
"a dog saw",0,2,2,"(0, 1)",1
"a dog saw",1,1,1,"(0, 2)",1
"the lazy lazy quick park admired the dog",0,7,7,"(6, 7)",1
"the lazy lazy quick park admired the dog",1,6,6,"(6, 7)",1
"the lazy lazy quick park admired the dog",2,5,5,"(6, 7)",1
"the lazy lazy quick park admired the dog",3,4,4,"(6, 7)",1
"the lazy lazy quick park admired the dog",4,3,3,"(6, 7)",1
"the lazy lazy quick park admired the dog",5,2,2,"(5, 7)",0
"the lazy lazy quick park admired the dog",6,1,1,"(0, 7)",1
"a small big telescope saw",0,4,4,"(1, 2)",1
"a small big telescope saw",1,3,3,"(1, 3)",1
"a small big telescope saw",2,2,2,"(0, 3)",1
"a small big telescope saw",3,1,1,"(0, 4)",1
"a woman chased the dog",0,4,4,"(3, 4)",1
"a woman chased the dog",1,3,3,"(3, 4)",1
"a woman chased the dog",2,2,2,"(0, 2)",1
"a woman chased the dog",3,1,1,"(0, 4)",1
"a red small cat admired",0,4,4,"(1, 2)",1
"a red small cat admired",1,3,3,"(1, 3)",1
"a red small cat admired",2,2,2,"(0, 3)",1
"a red small cat admired",3,1,1,"(0, 4)",1
"a quick lazy park admired the woman with the cat",0,9,9,"(8, 9)",1
"a quick lazy park admired the woman with the cat",1,8,8,"(8, 9)",1
"a quick lazy park admired the woman with the cat",2,7,7,"(8, 9)",1
"a quick lazy park admired the woman with the cat",3,6,6,"(8, 9)",1
"a quick lazy park admired the woman with the cat",4,5,5,"(8, 9)",1
