idx,sentence,mask_pos,gold,gold_pos,filled,filled_pos,completed,exact,pos_ok
0,"the man sees",1,man,N,dog,N,"the dog sees",0,1
1,"the cat chases",1,cat,N,man,N,"the man chases",0,1
2,"the man likes",1,man,N,dog,N,"the dog likes",0,1
3,"a woman chases the woman",2,chases,V,runs,V,"a woman runs the woman",0,1
4,"a cat likes the man",2,likes,V,chases,V,"a cat chases the man",0,1
5,"a cat chases a man",2,chases,V,runs,V,"a cat runs a man",0,1
6,"a man likes a man",2,likes,V,chases,V,"a man chases a man",0,1
7,"the dog chases a woman",2,chases,V,likes,V,"the dog likes a woman",0,1
8,"a woman runs a man",2,runs,V,sees,V,"a woman sees a man",0,1
9,"a man runs a cat",2,runs,V,sees,V,"a man sees a cat",0,1
10,"a woman sees the man",2,sees,V,likes,V,"a woman likes the man",0,1
11,"a cat runs a woman",2,runs,V,chases,V,"a cat chases a woman",0,1
12,"the man sees the woman",2,sees,V,likes,V,"the man likes the woman",0,1
13,"the dog likes the dog",2,likes,V,sees,V,"the dog sees the dog",0,1
14,"a man chases a woman",2,chases,V,chases,V,"a man chases a woman",1,1
15,"a cat runs",1,cat,N,woman,N,"a woman runs",0,1
16,"the man runs the man",2,runs,V,chases,V,"the man chases the man",0,1
17,"the man runs",1,man,N,dog,N,"the dog runs",0,1
18,"the man runs a woman",2,runs,V,likes,V,"the man likes a woman",0,1
19,"a man likes the dog",2,likes,V,runs,V,"a man runs the dog",0,1
20,"the woman likes",1,woman,N,dog,N,"the dog likes",0,1
21,"a dog chases a cat",2,chases,V,runs,V,"a dog runs a cat",0,1
22,"the woman sees a cat",2,sees,V,chases,V,"the woman chases a cat",0,1
23,"a woman chases the man",2,chases,V,likes,V,"a woman likes the man",0,1
24,"a dog sees the man",2,sees,V,likes,V,"a dog likes the man",0,1
25,"a dog likes the dog",2,likes,V,sees,V,"a dog sees the dog",0,1
26,"a dog runs a cat",2,runs,V,runs,V,"a dog runs a cat",1,1
27,"a cat chases",1,cat,N,man,N,"a man chases",0,1
28,"the woman likes a dog",2,likes,V,likes,V,"the woman likes a dog",1,1
29,"the dog sees a man",2,sees,V,runs,V,"the dog runs a man",0,1
