sentence,step,n_pairs,n_admitted,top_span,is_gold
"this blue blue apple liked a blue curious ancient robot",0,9,9,"(1, 2)",1
"this blue blue apple liked a blue curious ancient robot",1,8,8,"(6, 7)",0
"this blue blue apple liked a blue curious ancient robot",2,7,7,"(6, 7)",0
"this blue blue apple liked a blue curious ancient robot",3,6,6,"(6, 7)",0
"this blue blue apple liked a blue curious ancient robot",4,5,5,"(6, 8)",1
"this blue blue apple liked a blue curious ancient robot",5,4,4,"(6, 9)",1
"this blue blue apple liked a blue curious ancient robot",6,3,3,"(5, 9)",1
"this blue blue apple liked a blue curious ancient robot",7,2,2,"(0, 4)",1
"this blue blue apple liked a blue curious ancient robot",8,1,1,"(0, 9)",1
"this teacher carried that apple near the girl",0,7,7,"(6, 7)",1
"this teacher carried that apple near the girl",1,6,6,"(6, 7)",1
"this teacher carried that apple near the girl",2,5,5,"(6, 7)",1
"this teacher carried that apple near the girl",3,4,4,"(5, 7)",1
"this teacher carried that apple near the girl",4,3,3,"(0, 2)",1
"this teacher carried that apple near the girl",5,2,2,"(0, 4)",1
"this teacher carried that apple near the girl",6,1,1,"(0, 7)",1
"a boy liked with that book",0,5,5,"(4, 5)",1
"a boy liked with that book",1,4,4,"(0, 2)",1
"a boy liked with that book",2,3,3,"(0, 2)",1
"a boy liked with that book",3,2,2,"(0, 2)",1
"a boy liked with that book",4,1,1,"(0, 5)",1
"the ancient curious robot liked this teacher",0,6,6,"(5, 6)",1
"the ancient curious robot liked this teacher",1,5,5,"(5, 6)",1
"the ancient curious robot liked this teacher",2,4,4,"(5, 6)",1
"the ancient curious robot liked this teacher",3,3,3,"(5, 6)",1
"the ancient curious robot liked this teacher",4,2,2,"(0, 4)",1
"the ancient curious robot liked this teacher",5,1,1,"(0, 6)",1
"the robot admired that tall tall blue book",0,7,7,"(0, 1)",1
"the robot admired that tall tall blue book",1,6,6,"(0, 2)",1
"the robot admired that tall tall blue book",2,5,5,"(4, 6)",1
"the robot admired that tall tall blue book",3,4,4,"(3, 6)",0
"the robot admired that tall tall blue book",4,3,3,"(0, 2)",1
"the robot admired that tall tall blue book",5,2,2,"(0, 2)",1
"the robot admired that tall tall blue book",6,1,1,"(0, 7)",1
"a teacher admired the book with a tall blue book",0,9,9,"(7, 8)",1
"a teacher admired the book with a tall blue book",1,8,8,"(7, 8)",1
"a teacher admired the book with a tall blue book",2,7,7,"(7, 8)",1
"a teacher admired the book with a tall blue book",3,6,6,"(7, 9)",1
"a teacher admired the book with a tall blue book",4,5,5,"(6, 9)",1
"a teacher admired the book with a tall blue book",5,4,4,"(5, 9)",1
"a teacher admired the book with a tall blue book",6,3,3,"(0, 2)",1
"a teacher admired the book with a tall blue book",7,2,2,"(0, 4)",1
"a teacher admired the book with a tall blue book",8,1,1,"(0, 9)",1
"this teacher liked this robot",0,4,4,"(3, 4)",1
"this teacher liked this robot",1,3,3,"(3, 4)",1
"this teacher liked this robot",2,2,2,"(0, 2)",1
"this teacher liked this robot",3,1,1,"(0, 4)",1
"that blue friendly teacher carried the friendly blue robot",0,8,8,"(6, 7)",1
"that blue friendly teacher carried the friendly blue robot",1,7,7,"(1, 3)",1
"that blue friendly teacher carried the friendly blue robot",2,6,6,"(6, 7)",1
"that blue friendly teacher carried the friendly blue robot",3,5,5,"(6, 7)",1
"that blue friendly teacher carried the friendly blue robot",4,4,4,"(6, 8)",1
"that blue friendly teacher carried the friendly blue robot",5,3,3,"(5, 8)",1
"that blue friendly teacher carried the friendly blue robot",6,2,2,"(0, 4)",1
"that blue friendly teacher carried the friendly blue robot",7,1,1,"(0, 8)",1
"a girl saw a curious friendly teacher near the girl",0,9,9,"(8, 9)",1
"a girl saw a curious friendly teacher near the girl",1,8,8,"(8, 9)",1
"a girl saw a curious friendly teacher near the girl",2,7,7,"(8, 9)",1
"a girl saw a curious friendly teacher near the girl",3,6,6,"(8, 9)",1
"a girl saw a curious friendly teacher near the girl",4,5,5,"(8, 9)",1
"a girl saw a curious friendly teacher near the girl",5,4,4,"(0, 2)",1
"a girl saw a curious friendly teacher near the girl",6,3,3,"(0, 2)",1
"a girl saw a curious friendly teacher near the girl",7,2,2,"(0, 6)",1
"a girl saw a curious friendly teacher near the girl",8,1,1,"(0, 9)",1
"the apple read the teacher",0,4,4,"(3, 4)",1
"the apple read the teacher",1,3,3,"(0, 2)",1
"the apple read the teacher",2,2,2,"(0, 2)",1
"the apple read the teacher",3,1,1,"(0, 4)",1
"this book chased with that boy",0,5,5,"(4, 5)",1
"this book chased with that boy",1,4,4,"(4, 5)",1
"this book chased with that boy",2,3,3,"(3, 5)",1
"this book chased with that boy",3,2,2,"(2, 5)",0
"this book chased with that boy",4,1,1,"(0, 5)",1
"a apple read this boy",0,4,4,"(0, 1)",1
"a apple read this boy",1,3,3,"(3, 4)",1
"a apple read this boy",2,2,2,"(0, 2)",1
"a apple read this boy",3,1,1,"(0, 4)",1
"a curious ancient book liked near a teacher",0,7,7,"(6, 7)",1
"a curious ancient book liked near a teacher",1,6,6,"(6, 7)",1
"a curious ancient book liked near a teacher",2,5,5,"(6, 7)",1
"a curious ancient book liked near a teacher",3,4,4,"(6, 7)",1
"a curious ancient book liked near a teacher",4,3,3,"(0, 4)",1
"a curious ancient book liked near a teacher",5,2,2,"(0, 4)",1
"a curious ancient book liked near a teacher",6,1,1,"(0, 7)",1
"a apple read that girl",0,4,4,"(0, 1)",1
"a apple read that girl",1,3,3,"(3, 4)",1
"a apple read that girl",2,2,2,"(0, 2)",1
"a apple read that girl",3,1,1,"(0, 4)",1
"that apple saw that boy",0,4,4,"(3, 4)",1
"that apple saw that boy",1,3,3,"(3, 4)",1
"that apple saw that boy",2,2,2,"(0, 2)",1
"that apple saw that boy",3,1,1,"(0, 4)",1
"this tall tall girl read with that blue ancient girl",0,9,9,"(7, 8)",1
"this tall tall girl read with that blue ancient girl",1,8,8,"(7, 8)",1
"this tall tall girl read with that blue ancient girl",2,7,7,"(7, 8)",1
"this tall tall girl read with that blue ancient girl",3,6,6,"(0, 4)",1
"this tall tall girl read with that blue ancient girl",4,5,5,"(0, 4)",1
"this tall tall girl read with that blue ancient girl",5,4,4,"(0, 4)",1
"this tall tall girl read with that blue ancient girl",6,3,3,"(5, 9)",1
"this tall tall girl read with that blue ancient girl",7,2,2,"(0, 4)",1
"this tall tall girl read with that blue ancient girl",8,1,1,"(0, 9)",1
"this friendly blue friendly girl chased without the girl",0,8,8,"(7, 8)",1
"this friendly blue friendly girl chased without the girl",1,7,7,"(7, 8)",1
"this friendly blue friendly girl chased without the girl",2,6,6,"(7, 8)",1
"this friendly blue friendly girl chased without the girl",3,5,5,"(7, 8)",1
"this friendly blue friendly girl chased without the girl",4,4,4,"(7, 8)",1
"this friendly blue friendly girl chased without the girl",5,3,3,"(6, 8)",1
"this friendly blue friendly girl chased without the girl",6,2,2,"(5, 8)",0
"this friendly blue friendly girl chased without the girl",7,1,1,"(0, 8)",1
"this tall tall robot carried near the blue ancient robot",0,9,9,"(7, 8)",1
"this tall tall robot carried near the blue ancient robot",1,8,8,"(1, 3)",1
"this tall tall robot carried near the blue ancient robot",2,7,7,"(0, 3)",1
"this tall tall robot carried near the blue ancient robot",3,6,6,"(7, 8)",1
"this tall tall robot carried near the blue ancient robot",4,5,5,"(7, 9)",1
"this tall tall robot carried near the blue ancient robot",5,4,4,"(6, 9)",1
"this tall tall robot carried near the blue ancient robot",6,3,3,"(5, 9)",1
"this tall tall robot carried near the blue ancient robot",7,2,2,"(0, 4)",1
"this tall tall robot carried near the blue ancient robot",8,1,1,"(0, 9)",1
"a curious blue robot read near a teacher",0,7,7,"(6, 7)",1
"a curious blue robot read near a teacher",1,6,6,"(6, 7)",1
"a curious blue robot read near a teacher",2,5,5,"(6, 7)",1
"a curious blue robot read near a teacher",3,4,4,"(6, 7)",1
"a curious blue robot read near a teacher",4,3,3,"(0, 4)",1
"a curious blue robot read near a teacher",5,2,2,"(0, 4)",1
"a curious blue robot read near a teacher",6,1,1,"(0, 7)",1
"the robot liked near a girl",0,5,5,"(4, 5)",1
"the robot liked near a girl",1,4,4,"(4, 5)",1
"the robot liked near a girl",2,3,3,"(0, 2)",1
"the robot liked near a girl",3,2,2,"(0, 2)",1
"the robot liked near a girl",4,1,1,"(0, 5)",1
"the robot read the robot",0,4,4,"(3, 4)",1
"the robot read the robot",1,3,3,"(3, 4)",1
"the robot read the robot",2,2,2,"(0, 2)",1
"the robot read the robot",3,1,1,"(0, 4)",1
"this girl chased near this blue friendly teacher",0,7,7,"(0, 1)",1
"this girl chased near this blue friendly teacher",1,6,6,"(0, 2)",1
"this girl chased near this blue friendly teacher",2,5,5,"(5, 7)",1
"this girl chased near this blue friendly teacher",3,4,4,"(4, 7)",1
"this girl chased near this blue friendly teacher",4,3,3,"(3, 7)",1
"this girl chased near this blue friendly teacher",5,2,2,"(2, 7)",0
"this girl chased near this blue friendly teacher",6,1,1,"(0, 7)",1
"that teacher carried a boy",0,4,4,"(3, 4)",1
"that teacher carried a boy",1,3,3,"(3, 4)",1
"that teacher carried a boy",2,2,2,"(0, 2)",1
"that teacher carried a boy",3,1,1,"(0, 4)",1
"a book admired near the curious ancient friendly curious book",0,9,9,"(8, 9)",0
"a book admired near the curious ancient friendly curious book",1,8,8,"(8, 9)",0
"a book admired near the curious ancient friendly curious book",2,7,7,"(6, 8)",1
"a book admired near the curious ancient friendly curious book",3,6,6,"(5, 8)",1
"a book admired near the curious ancient friendly curious book",4,5,5,"(5, 9)",1
"a book admired near the curious ancient friendly curious book",5,4,4,"(0, 2)",1
"a book admired near the curious ancient friendly curious book",6,3,3,"(0, 2)",1
"a book admired near the curious ancient friendly curious book",7,2,2,"(0, 2)",1
"a book admired near the curious ancient friendly curious book",8,1,1,"(0, 9)",1
"that ancient tall book carried a boy",0,6,6,"(5, 6)",1
"that ancient tall book carried a boy",1,5,5,"(5, 6)",1
"that ancient tall book carried a boy",2,4,4,"(5, 6)",1
"that ancient tall book carried a boy",3,3,3,"(5, 6)",1
"that ancient tall book carried a boy",4,2,2,"(0, 4)",1
"that ancient tall book carried a boy",5,1,1,"(0, 6)",1
"that friendly ancient book read the curious friendly boy",0,8,8,"(6, 7)",1
"that friendly ancient book read the curious friendly boy",1,7,7,"(6, 7)",1
"that friendly ancient book read the curious friendly boy",2,6,6,"(6, 7)",1
"that friendly ancient book read the curious friendly boy",3,5,5,"(6, 7)",1
"that friendly ancient book read the curious friendly boy",4,4,4,"(0, 4)",1
"that friendly ancient book read the curious friendly boy",5,3,3,"(5, 8)",1
"that friendly ancient book read the curious friendly boy",6,2,2,"(0, 4)",1
"that friendly ancient book read the curious friendly boy",7,1,1,"(0, 8)",1
"the teacher liked the blue curious teacher",0,6,6,"(0, 1)",1
"the teacher liked the blue curious teacher",1,5,5,"(0, 2)",1
"the teacher liked the blue curious teacher",2,4,4,"(4, 6)",1
"the teacher liked the blue curious teacher",3,3,3,"(0, 2)",1
"the teacher liked the blue curious teacher",4,2,2,"(0, 2)",1
"the teacher liked the blue curious teacher",5,1,1,"(0, 6)",1
"that book carried the apple without this book",0,7,7,"(0, 1)",1
"that book carried the apple without this book",1,6,6,"(6, 7)",1
"that book carried the apple without this book",2,5,5,"(6, 7)",1
"that book carried the apple without this book",3,4,4,"(0, 2)",1
"that book carried the apple without this book",4,3,3,"(0, 2)",1
"that book carried the apple without this book",5,2,2,"(3, 7)",0
"that book carried the apple without this book",6,1,1,"(0, 7)",1
"the friendly friendly girl read a friendly ancient boy",0,8,8,"(1, 2)",1
"the friendly friendly girl read a friendly ancient boy",1,7,7,"(1, 3)",1
"the friendly friendly girl read a friendly ancient boy",2,6,6,"(0, 3)",1
"the friendly friendly girl read a friendly ancient boy",3,5,5,"(0, 4)",1
"the friendly friendly girl read a friendly ancient boy",4,4,4,"(0, 4)",1
"the friendly friendly girl read a friendly ancient boy",5,3,3,"(5, 8)",1
"the friendly friendly girl read a friendly ancient boy",6,2,2,"(0, 4)",1
"the friendly friendly girl read a friendly ancient boy",7,1,1,"(0, 8)",1
"this friendly curious boy admired near the robot",0,7,7,"(6, 7)",1
