idx,in_lexicon,grammatical,novel,text
0,1,1,1,"the friendly friendly ancient girl liked with that blue ancient ancient teacher"
1,1,1,0,"that book liked that blue friendly robot"
2,1,1,0,"a boy carried a ancient ancient apple without a robot"
3,1,1,0,"that teacher read this apple"
4,1,1,1,"this girl read the curious tall teacher"
5,1,1,0,"a apple liked that teacher with this blue friendly boy"
6,1,1,1,"this apple carried without that curious tall girl"
7,1,1,0,"this robot liked a apple"
8,1,1,1,"the teacher admired with a ancient curious book"
9,1,1,1,"this friendly ancient curious teacher admired that book"
10,1,1,1,"this ancient friendly friendly teacher chased the boy"
11,1,1,1,"that girl liked without this blue friendly teacher"
12,1,1,1,"that girl liked without this tall curious teacher"
13,1,1,1,"a curious blue girl saw this teacher"
14,1,1,1,"this tall curious girl admired with this ancient tall apple"
15,1,1,1,"a blue blue blue teacher saw the curious ancient teacher"
16,1,1,0,"the teacher read this boy"
17,1,1,1,"the tall curious friendly curious book read with a teacher"
18,1,1,1,"a curious tall apple chased without a friendly blue girl"
19,1,1,1,"that curious ancient girl admired this girl"
20,1,1,1,"that boy liked this boy near a apple"
21,1,1,0,"this apple read this tall ancient teacher without that boy"
22,1,1,1,"that teacher admired that friendly blue robot"
23,1,1,0,"that apple saw this boy"
24,1,1,1,"that apple chased near the apple"
25,1,1,0,"this tall curious boy liked a boy"
26,1,1,1,"that curious ancient book admired near this blue ancient book"
27,1,1,1,"that apple chased with a boy"
28,1,1,1,"that blue ancient girl chased that tall ancient robot"
29,1,1,0,"the robot liked this girl"
30,1,1,0,"this blue tall boy admired the boy"
31,1,1,1,"a curious ancient boy liked with that teacher"
32,1,1,0,"the girl chased without a apple"
33,1,1,1,"a teacher liked that curious tall tall girl"
34,1,1,1,"the teacher saw this curious tall apple without that apple"
35,1,1,1,"a friendly friendly apple admired with a tall tall book"
36,1,1,1,"that blue friendly book liked without the book"
37,1,1,1,"a girl saw a robot without that friendly curious boy"
38,1,1,0,"that boy admired that ancient curious apple without a boy"
39,1,1,1,"this tall blue robot liked that girl"
40,1,1,0,"a book admired a apple near a apple"
41,1,1,1,"this friendly ancient teacher read this tall curious teacher"
42,1,1,1,"that girl saw the boy"
43,1,0,1,"that boy admired that ancient curious apple without a boy this robot"
44,1,1,1,"the boy admired the apple with a tall tall book"
45,1,1,0,"a book admired this blue ancient book"
46,1,1,1,"a boy saw that tall tall tall apple"
47,1,1,1,"that boy carried with this robot"
48,1,1,1,"a teacher carried a ancient ancient apple without a robot"
49,1,1,1,"the friendly curious girl read near the ancient curious apple"
