idx,in_lexicon,grammatical,novel,text
0,1,1,0,"a man sees the woman"
1,1,1,0,"a woman chases a woman"
2,1,1,0,"a man likes the dog"
3,1,1,0,"a man sees the dog"
4,1,1,0,"a cat sees the cat"
5,1,1,0,"the dog sees"
6,1,1,0,"a woman runs a woman"
7,1,1,0,"a dog likes"
8,1,1,0,"a woman runs a woman"
9,1,1,0,"a dog sees"
10,1,1,0,"a dog chases the man"
11,1,1,0,"a woman runs a cat"
12,1,1,0,"a dog chases a woman"
13,1,1,1,"a cat sees the dog"
14,1,1,0,"a man runs"
15,1,1,0,"a dog sees"
16,1,1,1,"a dog likes a dog"
17,1,1,0,"the cat sees a cat"
18,1,1,0,"the woman sees a cat"
19,1,1,0,"the cat chases a man"
20,1,1,0,"a woman runs a cat"
21,1,1,1,"the man runs a man"
22,1,1,0,"the dog likes the dog"
23,1,1,0,"a woman runs a man"
24,1,1,0,"a cat likes a woman"
25,1,1,0,"the cat chases a woman"
26,1,1,1,"the dog sees the woman"
27,1,1,0,"a woman chases"
28,1,1,0,"a cat chases the dog"
29,1,1,0,"a woman likes the dog"
30,1,1,1,"the man runs the man"
31,1,1,0,"a woman sees the cat"
32,1,1,1,"the dog sees the dog"
33,1,1,0,"a man likes the man"
34,1,1,1,"the woman likes the man"
35,1,1,0,"a cat likes a man"
36,1,0,1,"the man likes sees a cat"
37,1,1,0,"the cat runs the dog"
38,1,1,0,"the dog runs the cat"
39,1,1,0,"the cat likes the man"
40,1,1,0,"the dog likes the cat"
41,1,1,0,"a cat likes the dog"
42,1,1,0,"the woman sees a man"
43,1,1,1,"a cat sees the dog"
44,1,1,0,"the woman sees a cat"
45,1,1,0,"the cat chases a man"
46,1,1,1,"the man runs the man"
47,1,1,0,"the woman runs a man"
48,1,1,0,"the cat sees a cat"
49,1,1,0,"a cat likes the cat"
