sentence,step,n_pairs,n_admitted,top_span,is_gold
"a woman sees a man",0,4,4,"(3, 4)",1
"a woman sees a man",1,3,3,"(3, 4)",1
"a woman sees a man",2,2,2,"(0, 2)",1
"a woman sees a man",3,1,1,"(0, 4)",1
"the cat sees the dog",0,4,4,"(0, 1)",1
"the cat sees the dog",1,3,3,"(3, 4)",1
"the cat sees the dog",2,2,2,"(0, 2)",1
"the cat sees the dog",3,1,1,"(0, 4)",1
"a man chases a man",0,4,4,"(3, 4)",1
"a man chases a man",1,3,3,"(3, 4)",1
"a man chases a man",2,2,2,"(0, 2)",1
"a man chases a man",3,1,1,"(0, 4)",1
"the dog sees a dog",0,4,4,"(0, 1)",1
"the dog sees a dog",1,3,3,"(3, 4)",1
"the dog sees a dog",2,2,2,"(0, 2)",1
"the dog sees a dog",3,1,1,"(0, 4)",1
"a woman sees a dog",0,4,4,"(3, 4)",1
"a woman sees a dog",1,3,3,"(3, 4)",1
"a woman sees a dog",2,2,2,"(0, 2)",1
"a woman sees a dog",3,1,1,"(0, 4)",1
"the woman likes a dog",0,4,4,"(0, 1)",1
"the woman likes a dog",1,3,3,"(3, 4)",1
"the woman likes a dog",2,2,2,"(0, 2)",1
"the woman likes a dog",3,1,1,"(0, 4)",1
"the cat runs a cat",0,4,4,"(3, 4)",1
"the cat runs a cat",1,3,3,"(3, 4)",1
"the cat runs a cat",2,2,2,"(0, 2)",1
"the cat runs a cat",3,1,1,"(0, 4)",1
"a man likes the cat",0,4,4,"(0, 1)",1
"a man likes the cat",1,3,3,"(0, 2)",1
"a man likes the cat",2,2,2,"(0, 2)",1
"a man likes the cat",3,1,1,"(0, 4)",1
"the man chases a woman",0,4,4,"(0, 1)",1
"the man chases a woman",1,3,3,"(3, 4)",1
"the man chases a woman",2,2,2,"(0, 2)",1
"the man chases a woman",3,1,1,"(0, 4)",1
"the dog chases a woman",0,4,4,"(0, 1)",1
"the dog chases a woman",1,3,3,"(3, 4)",1
"the dog chases a woman",2,2,2,"(0, 2)",1
"the dog chases a woman",3,1,1,"(0, 4)",1
"the woman chases",0,2,2,"(0, 1)",1
"the woman chases",1,1,1,"(0, 2)",1
"a woman chases the man",0,4,4,"(3, 4)",1
"a woman chases the man",1,3,3,"(3, 4)",1
"a woman chases the man",2,2,2,"(0, 2)",1
"a woman chases the man",3,1,1,"(0, 4)",1
"the man runs the man",0,4,4,"(3, 4)",1
"the man runs the man",1,3,3,"(3, 4)",1
"the man runs the man",2,2,2,"(0, 2)",1
"the man runs the man",3,1,1,"(0, 4)",1
"a man chases the man",0,4,4,"(3, 4)",1
"a man chases the man",1,3,3,"(3, 4)",1
"a man chases the man",2,2,2,"(0, 2)",1
"a man chases the man",3,1,1,"(0, 4)",1
"the man sees",0,2,2,"(0, 1)",1
"the man sees",1,1,1,"(0, 2)",1
"a man runs the dog",0,4,4,"(3, 4)",1
"a man runs the dog",1,3,3,"(3, 4)",1
"a man runs the dog",2,2,2,"(0, 2)",1
"a man runs the dog",3,1,1,"(0, 4)",1
"a dog likes a cat",0,4,4,"(3, 4)",1
"a dog likes a cat",1,3,3,"(3, 4)",1
