idx,in_lexicon,grammatical,novel,text
0,1,1,0,"a dog runs the man"
1,1,1,0,"the dog chases"
2,1,1,0,"a woman likes the man"
3,1,1,0,"a dog likes"
4,1,1,0,"the man sees the dog"
5,1,1,0,"a man sees the cat"
6,1,1,0,"a dog likes a man"
7,1,1,0,"a man runs a man"
8,1,1,0,"a woman runs the man"
9,1,1,0,"the man likes the cat"
10,1,1,0,"a man likes"
11,1,1,0,"a dog chases the woman"
12,1,1,0,"a woman runs the woman"
13,1,1,0,"a dog chases the man"
14,1,1,0,"the woman runs a cat"
15,1,1,0,"the woman likes"
16,1,1,0,"the cat likes the man"
17,1,1,0,"a cat sees a dog"
18,1,1,0,"a cat sees a cat"
19,1,1,1,"a woman runs the dog"
20,1,1,0,"a dog runs the dog"
21,1,1,1,"a woman chases a dog"
22,1,1,0,"a cat sees a dog"
23,1,1,0,"the dog chases a woman"
24,1,1,0,"a woman sees a cat"
25,1,1,0,"the woman runs the cat"
26,1,1,0,"a cat likes"
27,1,1,0,"a dog likes the dog"
28,1,1,0,"the dog sees the cat"
29,1,1,0,"the cat chases the man"
30,1,1,0,"the woman likes the dog"
31,1,1,1,"the dog likes the man"
32,1,1,0,"the dog chases the cat"
33,1,1,0,"the man runs a man"
34,1,1,1,"the dog runs the woman"
35,1,1,0,"the woman chases a woman"
36,1,1,0,"the woman likes a man"
37,1,1,0,"the man sees"
38,1,1,0,"the dog likes a cat"
39,1,1,0,"the man likes"
40,1,1,0,"a dog likes a man"
41,1,1,0,"the cat likes"
42,1,1,0,"a dog sees the man"
43,1,1,0,"the dog runs a woman"
44,1,1,0,"the woman likes"
45,1,1,0,"the man runs a man"
46,1,1,0,"a dog likes the man"
47,1,1,0,"a woman sees a cat"
48,1,1,0,"the dog chases a cat"
49,1,1,0,"a cat likes the dog"
