sentence,step,n_pairs,n_admitted,top_span,is_gold
"that teacher admired that friendly friendly robot",0,6,6,"(0, 1)",1
"that teacher admired that friendly friendly robot",1,5,5,"(4, 5)",1
"that teacher admired that friendly friendly robot",2,4,4,"(0, 2)",1
"that teacher admired that friendly friendly robot",3,3,3,"(3, 6)",1
"that teacher admired that friendly friendly robot",4,2,2,"(0, 2)",1
"that teacher admired that friendly friendly robot",5,1,1,"(0, 6)",1
"that book read this blue friendly tall boy",0,7,7,"(0, 1)",1
"that book read this blue friendly tall boy",1,6,6,"(0, 2)",1
"that book read this blue friendly tall boy",2,5,5,"(0, 2)",1
"that book read this blue friendly tall boy",3,4,4,"(0, 2)",1
"that book read this blue friendly tall boy",4,3,3,"(0, 2)",1
"that book read this blue friendly tall boy",5,2,2,"(0, 2)",1
"that book read this blue friendly tall boy",6,1,1,"(0, 7)",1
"this friendly curious boy admired near the robot",0,7,7,"(1, 2)",1
"this friendly curious boy admired near the robot",1,6,6,"(1, 3)",1
"this friendly curious boy admired near the robot",2,5,5,"(1, 4)",0
"this friendly curious boy admired near the robot",3,4,4,"(0, 4)",1
"this friendly curious boy admired near the robot",4,3,3,"(5, 7)",1
"this friendly curious boy admired near the robot",5,2,2,"(0, 4)",1
"this friendly curious boy admired near the robot",6,1,1,"(0, 7)",1
"this tall tall girl read with that blue ancient girl",0,9,9,"(7, 8)",1
"this tall tall girl read with that blue ancient girl",1,8,8,"(7, 8)",1
"this tall tall girl read with that blue ancient girl",2,7,7,"(7, 8)",1
"this tall tall girl read with that blue ancient girl",3,6,6,"(7, 8)",1
"this tall tall girl read with that blue ancient girl",4,5,5,"(5, 6)",0
"this tall tall girl read with that blue ancient girl",5,4,4,"(6, 9)",1
"this tall tall girl read with that blue ancient girl",6,3,3,"(5, 9)",1
"this tall tall girl read with that blue ancient girl",7,2,2,"(0, 4)",1
"this tall tall girl read with that blue ancient girl",8,1,1,"(0, 9)",1
"that curious friendly friendly book liked without the book",0,8,8,"(2, 3)",1
"that curious friendly friendly book liked without the book",1,7,7,"(1, 3)",1
"that curious friendly friendly book liked without the book",2,6,6,"(0, 3)",0
"that curious friendly friendly book liked without the book",3,5,5,"(0, 4)",1
"that curious friendly friendly book liked without the book",4,4,4,"(7, 8)",1
"that curious friendly friendly book liked without the book",5,3,3,"(6, 8)",1
"that curious friendly friendly book liked without the book",6,2,2,"(0, 5)",1
"that curious friendly friendly book liked without the book",7,1,1,"(0, 8)",1
"the ancient friendly book liked a book",0,6,6,"(1, 2)",1
"the ancient friendly book liked a book",1,5,5,"(1, 3)",1
"the ancient friendly book liked a book",2,4,4,"(0, 3)",1
"the ancient friendly book liked a book",3,3,3,"(0, 4)",1
"the ancient friendly book liked a book",4,2,2,"(0, 4)",1
"the ancient friendly book liked a book",5,1,1,"(0, 6)",1
"a apple saw the ancient tall robot without that apple",0,9,9,"(0, 1)",1
"a apple saw the ancient tall robot without that apple",1,8,8,"(4, 5)",1
"a apple saw the ancient tall robot without that apple",2,7,7,"(0, 2)",1
"a apple saw the ancient tall robot without that apple",3,6,6,"(0, 2)",1
"a apple saw the ancient tall robot without that apple",4,5,5,"(0, 2)",1
"a apple saw the ancient tall robot without that apple",5,4,4,"(0, 2)",1
"a apple saw the ancient tall robot without that apple",6,3,3,"(0, 2)",1
"a apple saw the ancient tall robot without that apple",7,2,2,"(0, 6)",1
"a apple saw the ancient tall robot without that apple",8,1,1,"(0, 9)",1
"the book liked with this teacher",0,5,5,"(0, 1)",1
"the book liked with this teacher",1,4,4,"(4, 5)",1
"the book liked with this teacher",2,3,3,"(3, 5)",1
"the book liked with this teacher",3,2,2,"(0, 2)",1
"the book liked with this teacher",4,1,1,"(0, 5)",1
"a blue ancient tall teacher saw the curious ancient teacher",0,9,9,"(2, 3)",1
"a blue ancient tall teacher saw the curious ancient teacher",1,8,8,"(7, 8)",1
"a blue ancient tall teacher saw the curious ancient teacher",2,7,7,"(7, 8)",1
"a blue ancient tall teacher saw the curious ancient teacher",3,6,6,"(0, 4)",1
"a blue ancient tall teacher saw the curious ancient teacher",4,5,5,"(7, 8)",1
"a blue ancient tall teacher saw the curious ancient teacher",5,4,4,"(7, 9)",1
"a blue ancient tall teacher saw the curious ancient teacher",6,3,3,"(6, 9)",1
"a blue ancient tall teacher saw the curious ancient teacher",7,2,2,"(5, 9)",0
"a blue ancient tall teacher saw the curious ancient teacher",8,1,1,"(0, 9)",1
"this robot admired a girl near the ancient curious teacher",0,9,9,"(7, 8)",1
"this robot admired a girl near the ancient curious teacher",1,8,8,"(7, 8)",1
"this robot admired a girl near the ancient curious teacher",2,7,7,"(7, 8)",1
"this robot admired a girl near the ancient curious teacher",3,6,6,"(6, 8)",0
"this robot admired a girl near the ancient curious teacher",4,5,5,"(6, 9)",1
"this robot admired a girl near the ancient curious teacher",5,4,4,"(5, 9)",1
"this robot admired a girl near the ancient curious teacher",6,3,3,"(0, 2)",1
"this robot admired a girl near the ancient curious teacher",7,2,2,"(0, 4)",1
"this robot admired a girl near the ancient curious teacher",8,1,1,"(0, 9)",1
"that girl admired the blue friendly teacher",0,6,6,"(4, 5)",1
"that girl admired the blue friendly teacher",1,5,5,"(4, 5)",1
"that girl admired the blue friendly teacher",2,4,4,"(0, 2)",1
"that girl admired the blue friendly teacher",3,3,3,"(0, 2)",1
"that girl admired the blue friendly teacher",4,2,2,"(0, 2)",1
"that girl admired the blue friendly teacher",5,1,1,"(0, 6)",1
"a apple saw with a friendly curious boy",0,7,7,"(5, 6)",1
"a apple saw with a friendly curious boy",1,6,6,"(5, 6)",1
"a apple saw with a friendly curious boy",2,5,5,"(3, 4)",0
"a apple saw with a friendly curious boy",3,4,4,"(4, 7)",1
"a apple saw with a friendly curious boy",4,3,3,"(3, 7)",1
"a apple saw with a friendly curious boy",5,2,2,"(0, 2)",1
"a apple saw with a friendly curious boy",6,1,1,"(0, 7)",1
"this ancient friendly friendly robot read this girl",0,7,7,"(6, 7)",1
"this ancient friendly friendly robot read this girl",1,6,6,"(6, 7)",1
"this ancient friendly friendly robot read this girl",2,5,5,"(6, 7)",1
"this ancient friendly friendly robot read this girl",3,4,4,"(0, 4)",1
"this ancient friendly friendly robot read this girl",4,3,3,"(6, 7)",1
"this ancient friendly friendly robot read this girl",5,2,2,"(5, 7)",0
"this ancient friendly friendly robot read this girl",6,1,1,"(0, 7)",1
"that apple admired that blue curious friendly apple",0,7,7,"(0, 1)",1
"that apple admired that blue curious friendly apple",1,6,6,"(5, 6)",1
"that apple admired that blue curious friendly apple",2,5,5,"(4, 6)",1
"that apple admired that blue curious friendly apple",3,4,4,"(3, 6)",0
"that apple admired that blue curious friendly apple",4,3,3,"(3, 7)",1
"that apple admired that blue curious friendly apple",5,2,2,"(0, 2)",1
"that apple admired that blue curious friendly apple",6,1,1,"(0, 7)",1
"a robot read that boy",0,4,4,"(0, 1)",1
"a robot read that boy",1,3,3,"(3, 4)",1
"a robot read that boy",2,2,2,"(0, 2)",1
"a robot read that boy",3,1,1,"(0, 4)",1
"this apple read near that blue ancient ancient robot",0,8,8,"(5, 6)",0
"this apple read near that blue ancient ancient robot",1,7,7,"(0, 2)",1
"this apple read near that blue ancient ancient robot",2,6,6,"(0, 2)",1
"this apple read near that blue ancient ancient robot",3,5,5,"(0, 2)",1
"this apple read near that blue ancient ancient robot",4,4,4,"(0, 2)",1
"this apple read near that blue ancient ancient robot",5,3,3,"(0, 2)",1
"this apple read near that blue ancient ancient robot",6,2,2,"(0, 2)",1
"this apple read near that blue ancient ancient robot",7,1,1,"(0, 8)",1
"the blue tall boy chased the boy",0,6,6,"(1, 2)",1
"the blue tall boy chased the boy",1,5,5,"(5, 6)",1
"the blue tall boy chased the boy",2,4,4,"(0, 3)",1
"the blue tall boy chased the boy",3,3,3,"(0, 4)",1
"the blue tall boy chased the boy",4,2,2,"(0, 4)",1
"the blue tall boy chased the boy",5,1,1,"(0, 6)",1
"that curious curious teacher saw with this robot",0,7,7,"(6, 7)",1
"that curious curious teacher saw with this robot",1,6,6,"(6, 7)",1
"that curious curious teacher saw with this robot",2,5,5,"(6, 7)",1
"that curious curious teacher saw with this robot",3,4,4,"(6, 7)",1
"that curious curious teacher saw with this robot",4,3,3,"(5, 7)",1
"that curious curious teacher saw with this robot",5,2,2,"(0, 4)",1
"that curious curious teacher saw with this robot",6,1,1,"(0, 7)",1
"a friendly curious apple saw that boy",0,6,6,"(1, 2)",1
"a friendly curious apple saw that boy",1,5,5,"(1, 3)",1
"a friendly curious apple saw that boy",2,4,4,"(1, 4)",0
"a friendly curious apple saw that boy",3,3,3,"(0, 4)",1
"a friendly curious apple saw that boy",4,2,2,"(0, 4)",1
"a friendly curious apple saw that boy",5,1,1,"(0, 6)",1
"a girl chased without a ancient ancient apple",0,7,7,"(5, 6)",1
"a girl chased without a ancient ancient apple",1,6,6,"(5, 6)",1
"a girl chased without a ancient ancient apple",2,5,5,"(3, 4)",0
"a girl chased without a ancient ancient apple",3,4,4,"(3, 4)",0
"a girl chased without a ancient ancient apple",4,3,3,"(3, 7)",1
"a girl chased without a ancient ancient apple",5,2,2,"(2, 7)",0
"a girl chased without a ancient ancient apple",6,1,1,"(0, 7)",1
"this girl read this teacher",0,4,4,"(0, 1)",1
"this girl read this teacher",1,3,3,"(3, 4)",1
"this girl read this teacher",2,2,2,"(0, 2)",1
"this girl read this teacher",3,1,1,"(0, 4)",1
"this teacher carried that apple near the girl",0,7,7,"(0, 1)",1
"this teacher carried that apple near the girl",1,6,6,"(0, 2)",1
"this teacher carried that apple near the girl",2,5,5,"(0, 2)",1
"this teacher carried that apple near the girl",3,4,4,"(5, 7)",1
"this teacher carried that apple near the girl",4,3,3,"(0, 2)",1
"this teacher carried that apple near the girl",5,2,2,"(0, 4)",1
"this teacher carried that apple near the girl",6,1,1,"(0, 7)",1
"the girl chased without a apple",0,5,5,"(0, 1)",1
"the girl chased without a apple",1,4,4,"(3, 4)",0
"the girl chased without a apple",2,3,3,"(3, 5)",1
"the girl chased without a apple",3,2,2,"(2, 5)",0
"the girl chased without a apple",4,1,1,"(0, 5)",1
"a girl carried the blue blue robot near the robot",0,9,9,"(0, 1)",1
"a girl carried the blue blue robot near the robot",1,8,8,"(4, 5)",1
"a girl carried the blue blue robot near the robot",2,7,7,"(8, 9)",1
"a girl carried the blue blue robot near the robot",3,6,6,"(8, 9)",1
"a girl carried the blue blue robot near the robot",4,5,5,"(8, 9)",1
"a girl carried the blue blue robot near the robot",5,4,4,"(7, 9)",1
"a girl carried the blue blue robot near the robot",6,3,3,"(0, 2)",1
"a girl carried the blue blue robot near the robot",7,2,2,"(0, 6)",1
"a girl carried the blue blue robot near the robot",8,1,1,"(0, 9)",1
"a friendly friendly apple liked without that book",0,7,7,"(1, 2)",1
"a friendly friendly apple liked without that book",1,6,6,"(1, 3)",1
"a friendly friendly apple liked without that book",2,5,5,"(0, 3)",1
"a friendly friendly apple liked without that book",3,4,4,"(0, 4)",1
"a friendly friendly apple liked without that book",4,3,3,"(5, 7)",1
"a friendly friendly apple liked without that book",5,2,2,"(0, 4)",1
"a friendly friendly apple liked without that book",6,1,1,"(0, 7)",1
"that girl chased with a apple",0,5,5,"(0, 1)",1
"that girl chased with a apple",1,4,4,"(3, 4)",0
"that girl chased with a apple",2,3,3,"(3, 5)",1
"that girl chased with a apple",3,2,2,"(2, 5)",0
"that girl chased with a apple",4,1,1,"(0, 5)",1
"this friendly blue book admired this robot",0,6,6,"(1, 2)",1
"this friendly blue book admired this robot",1,5,5,"(1, 3)",1
"this friendly blue book admired this robot",2,4,4,"(0, 3)",1
"this friendly blue book admired this robot",3,3,3,"(5, 6)",1
"this friendly blue book admired this robot",4,2,2,"(4, 6)",0
"this friendly blue book admired this robot",5,1,1,"(0, 6)",1
"the girl read that girl with a apple",0,7,7,"(0, 1)",1
"the girl read that girl with a apple",1,6,6,"(0, 2)",1
"the girl read that girl with a apple",2,5,5,"(0, 2)",1
"the girl read that girl with a apple",3,4,4,"(0, 2)",1
"the girl read that girl with a apple",4,3,3,"(0, 2)",1
"the girl read that girl with a apple",5,2,2,"(0, 4)",1
"the girl read that girl with a apple",6,1,1,"(0, 7)",1
"a blue curious blue robot read with a boy",0,8,8,"(2, 3)",1
"a blue curious blue robot read with a boy",1,7,7,"(1, 3)",1
"a blue curious blue robot read with a boy",2,6,6,"(1, 4)",1
"a blue curious blue robot read with a boy",3,5,5,"(6, 7)",0
"a blue curious blue robot read with a boy",4,4,4,"(6, 7)",0
"a blue curious blue robot read with a boy",5,3,3,"(6, 8)",1
"a blue curious blue robot read with a boy",6,2,2,"(0, 5)",1
"a blue curious blue robot read with a boy",7,1,1,"(0, 8)",1
"that ancient tall teacher carried near that curious ancient teacher",0,9,9,"(1, 2)",1
"that ancient tall teacher carried near that curious ancient teacher",1,8,8,"(0, 2)",0
"that ancient tall teacher carried near that curious ancient teacher",2,7,7,"(0, 3)",1
"that ancient tall teacher carried near that curious ancient teacher",3,6,6,"(7, 8)",1
"that ancient tall teacher carried near that curious ancient teacher",4,5,5,"(0, 4)",1
"that ancient tall teacher carried near that curious ancient teacher",5,4,4,"(6, 9)",1
"that ancient tall teacher carried near that curious ancient teacher",6,3,3,"(5, 9)",1
"that ancient tall teacher carried near that curious ancient teacher",7,2,2,"(0, 4)",1
"that ancient tall teacher carried near that curious ancient teacher",8,1,1,"(0, 9)",1
"this teacher carried with a tall tall blue apple",0,8,8,"(0, 1)",1
