idx,in_lexicon,grammatical,novel,text
0,1,1,0,"the teacher read this robot"
1,1,1,0,"the robot read that curious ancient tall book"
2,1,1,0,"that ancient tall curious book liked the book"
3,1,1,1,"this book saw this blue friendly ancient robot"
4,1,1,1,"this book saw this friendly blue curious robot"
5,1,1,0,"the teacher saw this curious tall apple"
6,1,1,1,"the blue friendly ancient girl liked this apple"
7,1,1,0,"the robot read the robot"
8,1,1,1,"a tall friendly apple read that teacher with this blue blue boy"
9,1,1,1,"the robot liked with that book"
10,1,1,1,"the boy chased that teacher"
11,1,1,1,"a ancient ancient curious teacher liked with that teacher"
12,1,1,1,"a curious friendly girl admired without that girl"
13,1,1,1,"the girl admired without that book"
14,1,1,0,"this girl carried with this girl"
15,1,1,0,"that book chased this friendly ancient book"
16,1,1,1,"the tall ancient ancient ancient girl liked with the curious tall robot"
17,1,1,1,"the tall curious friendly curious book chased near a apple"
18,1,1,1,"a teacher carried with that friendly tall tall teacher"
19,1,1,0,"the ancient curious robot liked this teacher"
20,1,1,0,"a teacher carried this teacher without a girl"
21,1,1,1,"the apple chased this ancient friendly robot near that book"
22,1,1,1,"the apple carried this friendly curious apple"
23,1,1,0,"this blue blue boy chased near the blue curious robot"
24,1,1,1,"that boy saw this friendly friendly robot"
25,1,1,0,"this friendly friendly girl saw near the book"
26,1,1,1,"this apple saw that curious ancient teacher without that apple"
27,1,1,1,"the curious curious girl read with that tall friendly robot"
28,1,1,0,"the teacher read this robot"
29,1,1,0,"a girl carried near a robot"
30,1,1,1,"a boy saw that robot without that tall ancient boy"
31,1,1,0,"the apple carried the robot"
32,1,1,1,"this tall ancient apple read this tall friendly book"
33,1,1,1,"this book carried without that book"
34,1,1,1,"the curious curious girl read with that ancient curious robot"
35,1,1,0,"this apple carried near the teacher"
36,1,1,0,"the curious friendly boy carried that apple near this girl"
37,1,1,1,"a book admired this robot"
38,1,1,0,"that boy liked a friendly curious friendly boy"
39,1,1,0,"the curious friendly boy carried that apple near this girl"
40,1,1,0,"this teacher liked this robot"
41,1,1,1,"this book carried without that book"
42,1,1,1,"that apple read that teacher"
43,1,1,1,"this blue curious robot carried the ancient blue friendly curious boy"
44,1,1,1,"this boy read this girl"
45,1,1,0,"a curious blue boy liked this robot"
46,1,1,1,"this boy read with the tall tall robot"
47,1,1,1,"a tall friendly apple read that apple with the book"
48,1,1,1,"the ancient blue girl admired that book"
49,1,1,1,"a friendly ancient tall book saw without this apple"
