idx,sentence,mask_pos,gold,gold_pos,filled,filled_pos,completed,exact,pos_ok
0,"that teacher admired that friendly friendly robot",3,that,RelPro,a,Det,"that teacher admired a friendly friendly robot",0,0
1,"that book read this blue friendly tall boy",4,blue,Adj,tall,Adj,"that book read this tall friendly tall boy",0,1
2,"this friendly curious boy admired near the robot",4,admired,V,admired,V,"this friendly curious boy admired near the robot",1,1
3,"this tall tall girl read with that blue ancient girl",5,with,P,with,P,"this tall tall girl read with that blue ancient girl",1,1
4,"that curious friendly friendly book liked without the book",4,book,N,girl,N,"that curious friendly friendly girl liked without the book",0,1
5,"the ancient friendly book liked a book",3,book,N,apple,N,"the ancient friendly apple liked a book",0,1
6,"a apple saw the ancient tall robot without that apple",5,tall,Adj,blue,Adj,"a apple saw the ancient blue robot without that apple",0,1
7,"the book liked with this teacher",3,with,P,without,P,"the book liked without this teacher",0,1
8,"a blue ancient tall teacher saw the curious ancient teacher",5,saw,V,saw,V,"a blue ancient tall teacher saw the curious ancient teacher",1,1
9,"this robot admired a girl near the ancient curious teacher",5,near,P,admired,V,"this robot admired a girl admired the ancient curious teacher",0,0
10,"that girl admired the blue friendly teacher",3,the,Det,this,Det,"that girl admired this blue friendly teacher",0,1
11,"a apple saw with a friendly curious boy",4,a,Det,curious,Adj,"a apple saw with curious friendly curious boy",0,0
12,"this ancient friendly friendly robot read this girl",4,robot,N,book,N,"this ancient friendly friendly book read this girl",0,1
13,"that apple admired that blue curious friendly apple",4,blue,Adj,curious,Adj,"that apple admired that curious curious friendly apple",0,1
14,"a robot read that boy",2,read,V,liked,V,"a robot liked that boy",0,1
15,"this apple read near that blue ancient ancient robot",4,that,RelPro,the,Det,"this apple read near the blue ancient ancient robot",0,0
16,"the blue tall boy chased the boy",3,boy,N,robot,N,"the blue tall robot chased the boy",0,1
17,"that curious curious teacher saw with this robot",4,saw,V,chased,V,"that curious curious teacher chased with this robot",0,1
18,"a friendly curious apple saw that boy",3,apple,N,book,N,"a friendly curious book saw that boy",0,1
19,"a girl chased without a ancient ancient apple",4,a,Det,the,Det,"a girl chased without the ancient ancient apple",0,1
20,"this girl read this teacher",2,read,V,without,P,"this girl without this teacher",0,0
21,"this teacher carried that apple near the girl",4,apple,N,book,N,"this teacher carried that book near the girl",0,1
22,"the girl chased without a apple",3,without,P,with,P,"the girl chased with a apple",0,1
23,"a girl carried the blue blue robot near the robot",5,blue,Adj,curious,Adj,"a girl carried the blue curious robot near the robot",0,1
24,"a friendly friendly apple liked without that book",4,liked,V,liked,V,"a friendly friendly apple liked without that book",1,1
25,"that girl chased with a apple",3,with,P,with,P,"that girl chased with a apple",1,1
26,"this friendly blue book admired this robot",3,book,N,apple,N,"this friendly blue apple admired this robot",0,1
27,"the girl read that girl with a apple",4,girl,N,book,N,"the girl read that book with a apple",0,1
28,"a blue curious blue robot read with a boy",4,robot,N,robot,N,"a blue curious blue robot read with a boy",1,1
29,"that ancient tall teacher carried near that curious ancient teacher",5,near,P,without,P,"that ancient tall teacher carried without that curious ancient teacher",0,1
