sentence,gold_brackets,pred_brackets,tp,fp,fn
"that teacher admired that friendly friendly robot","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6)]","[(0, 1), (0, 2), (0, 3), (0, 6), (4, 5), (4, 6)]",5,1,1
"that book read this blue friendly tall boy","[(0, 1), (0, 2), (0, 7), (3, 7), (4, 6), (4, 7), (5, 6)]","[(0, 1), (0, 2), (0, 5), (0, 6), (0, 7), (3, 5), (4, 5)]",3,4,4
"this friendly curious boy admired near the robot","[(0, 3), (0, 4), (0, 7), (1, 2), (1, 3), (5, 7), (6, 7)]","[(0, 4), (0, 7), (1, 2), (1, 3), (1, 4), (5, 6), (5, 7)]",5,2,2
"this tall tall girl read with that blue ancient girl","[(0, 3), (0, 4), (0, 9), (1, 2), (1, 3), (5, 9), (6, 9), (7, 8), (7, 9)]","[(0, 4), (0, 6), (0, 9), (1, 2), (1, 3), (1, 4), (5, 6), (7, 8), (7, 9)]",6,3,3
"that curious friendly friendly book liked without the book","[(0, 4), (0, 5), (0, 8), (1, 3), (1, 4), (2, 3), (6, 8), (7, 8)]","[(0, 3), (0, 4), (0, 5), (0, 8), (1, 3), (2, 3), (6, 8), (7, 8)]",7,1,1
"the ancient friendly book liked a book","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]","[(0, 3), (0, 4), (0, 5), (0, 6), (1, 2), (1, 3)]",5,1,1
"a apple saw the ancient tall robot without that apple","[(0, 1), (0, 2), (0, 6), (0, 9), (3, 6), (4, 5), (4, 6), (7, 9), (8, 9)]","[(0, 1), (0, 2), (0, 5), (0, 6), (0, 8), (0, 9), (3, 5), (4, 5), (7, 8)]",5,4,4
"the book liked with this teacher","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]",5,0,0
"a blue ancient tall teacher saw the curious ancient teacher","[(0, 4), (0, 5), (0, 9), (1, 3), (1, 4), (2, 3), (6, 9), (7, 8), (7, 9)]","[(0, 4), (0, 9), (1, 3), (1, 4), (2, 3), (5, 9), (6, 9), (7, 8), (7, 9)]",8,1,1
"this robot admired a girl near the ancient curious teacher","[(0, 1), (0, 2), (0, 4), (0, 9), (3, 4), (5, 9), (6, 9), (7, 8), (7, 9)]","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 9), (5, 8), (5, 9), (6, 8), (7, 8)]",6,3,3
"that girl admired the blue friendly teacher","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6)]","[(0, 1), (0, 2), (0, 3), (0, 6), (4, 5), (4, 6)]",5,1,1
"a apple saw with a friendly curious boy","[(0, 1), (0, 2), (0, 7), (3, 7), (4, 7), (5, 6), (5, 7)]","[(0, 1), (0, 2), (0, 4), (0, 7), (3, 4), (5, 6), (5, 7)]",5,2,2
"this ancient friendly friendly robot read this girl","[(0, 4), (0, 5), (0, 7), (1, 3), (1, 4), (2, 3), (6, 7)]","[(0, 3), (0, 4), (0, 7), (1, 3), (2, 3), (5, 7), (6, 7)]",5,2,2
"that apple admired that blue curious friendly apple","[(0, 1), (0, 2), (0, 7), (3, 7), (4, 6), (4, 7), (5, 6)]","[(0, 1), (0, 2), (0, 6), (0, 7), (3, 6), (4, 6), (5, 6)]",5,2,2
"a robot read that boy","[(0, 1), (0, 2), (0, 4), (3, 4)]","[(0, 1), (0, 2), (0, 4), (3, 4)]",4,0,0
"this apple read near that blue ancient ancient robot","[(0, 1), (0, 2), (0, 8), (3, 8), (4, 8), (5, 7), (5, 8), (6, 7)]","[(0, 1), (0, 2), (0, 4), (0, 7), (0, 8), (3, 4), (5, 6), (5, 7)]",4,4,4
"the blue tall boy chased the boy","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]",6,0,0
"that curious curious teacher saw with this robot","[(0, 3), (0, 4), (0, 7), (1, 2), (1, 3), (5, 7), (6, 7)]","[(0, 2), (0, 3), (0, 4), (0, 7), (1, 2), (5, 7), (6, 7)]",6,1,1
"a friendly curious apple saw that boy","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]","[(0, 6), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6)]",3,3,3
"a girl chased without a ancient ancient apple","[(0, 1), (0, 2), (0, 7), (3, 7), (4, 7), (5, 6), (5, 7)]","[(0, 1), (0, 2), (0, 4), (0, 6), (0, 7), (3, 4), (5, 6)]",4,3,3
"this girl read this teacher","[(0, 1), (0, 2), (0, 4), (3, 4)]","[(0, 1), (0, 2), (0, 4), (3, 4)]",4,0,0
"this teacher carried that apple near the girl","[(0, 1), (0, 2), (0, 4), (0, 7), (3, 4), (5, 7), (6, 7)]","[(0, 1), (0, 2), (0, 4), (0, 7), (3, 4), (5, 7), (6, 7)]",7,0,0
"the girl chased without a apple","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]","[(0, 1), (0, 4), (0, 5), (2, 4), (3, 4)]",2,3,3
"a girl carried the blue blue robot near the robot","[(0, 1), (0, 2), (0, 6), (0, 9), (3, 6), (4, 5), (4, 6), (7, 9), (8, 9)]","[(0, 1), (0, 2), (0, 3), (0, 9), (4, 5), (4, 6), (4, 9), (7, 9), (8, 9)]",7,2,2
"a friendly friendly apple liked without that book","[(0, 3), (0, 4), (0, 7), (1, 2), (1, 3), (5, 7), (6, 7)]","[(0, 3), (0, 4), (0, 6), (0, 7), (1, 2), (1, 3), (5, 6)]",5,2,2
"that girl chased with a apple","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]","[(0, 1), (0, 2), (0, 4), (0, 5), (3, 4)]",3,2,2
"this friendly blue book admired this robot","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]","[(0, 3), (0, 6), (1, 2), (1, 3), (4, 6), (5, 6)]",5,1,1
"the girl read that girl with a apple","[(0, 1), (0, 2), (0, 4), (0, 7), (3, 4), (5, 7), (6, 7)]","[(0, 1), (0, 2), (0, 4), (0, 7), (3, 4), (5, 7), (6, 7)]",7,0,0
"a blue curious blue robot read with a boy","[(0, 4), (0, 5), (0, 8), (1, 3), (1, 4), (2, 3), (6, 8), (7, 8)]","[(0, 4), (0, 5), (0, 7), (0, 8), (1, 3), (1, 4), (2, 3), (6, 7)]",6,2,2
"that ancient tall teacher carried near that curious ancient teacher","[(0, 3), (0, 4), (0, 9), (1, 2), (1, 3), (5, 9), (6, 9), (7, 8), (7, 9)]","[(0, 2), (0, 3), (0, 4), (0, 6), (0, 9), (1, 2), (5, 6), (7, 8), (7, 9)]",6,3,3
"this teacher carried with a tall tall blue apple","[(0, 1), (0, 2), (0, 8), (3, 8), (4, 8), (5, 7), (5, 8), (6, 7)]","[(0, 1), (0, 2), (0, 4), (0, 7), (0, 8), (3, 4), (5, 7), (6, 7)]",5,3,3
"the book admired near the girl","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]","[(0, 1), (0, 2), (0, 5), (3, 4), (3, 5)]",4,1,1
"a tall ancient girl read that curious curious boy","[(0, 3), (0, 4), (0, 8), (1, 2), (1, 3), (5, 8), (6, 7), (6, 8)]","[(0, 3), (0, 4), (0, 8), (1, 2), (1, 3), (5, 8), (6, 7), (6, 8)]",8,0,0
"this blue friendly robot chased this curious tall girl","[(0, 3), (0, 4), (0, 8), (1, 2), (1, 3), (5, 8), (6, 7), (6, 8)]","[(0, 2), (0, 3), (0, 4), (0, 5), (0, 8), (1, 2), (6, 7), (6, 8)]",6,2,2
"this tall tall boy saw the blue blue girl","[(0, 3), (0, 4), (0, 8), (1, 2), (1, 3), (5, 8), (6, 7), (6, 8)]","[(0, 3), (0, 4), (0, 8), (1, 2), (1, 3), (5, 8), (6, 7), (6, 8)]",8,0,0
"that boy carried near a apple","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]","[(0, 1), (0, 2), (0, 4), (0, 5), (3, 4)]",3,2,2
"a blue curious boy liked that girl","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]",6,0,0
"that boy saw this book","[(0, 1), (0, 2), (0, 4), (3, 4)]","[(0, 1), (0, 2), (0, 3), (0, 4)]",3,1,1
"the blue blue book saw the teacher","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]",6,0,0
"that apple saw that boy","[(0, 1), (0, 2), (0, 4), (3, 4)]","[(0, 1), (0, 2), (0, 4), (3, 4)]",4,0,0
"that tall friendly boy chased that tall curious book","[(0, 3), (0, 4), (0, 8), (1, 2), (1, 3), (5, 8), (6, 7), (6, 8)]","[(0, 3), (0, 7), (0, 8), (1, 2), (1, 3), (4, 7), (5, 7), (6, 7)]",5,3,3
"that ancient tall book carried a boy","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]","[(0, 2), (0, 3), (0, 4), (0, 6), (1, 2), (5, 6)]",5,1,1
"the teacher liked with that blue curious boy","[(0, 1), (0, 2), (0, 7), (3, 7), (4, 7), (5, 6), (5, 7)]","[(0, 1), (0, 2), (0, 4), (0, 7), (3, 4), (5, 6), (5, 7)]",5,2,2
"a apple admired without that curious ancient boy","[(0, 1), (0, 2), (0, 7), (3, 7), (4, 7), (5, 6), (5, 7)]","[(0, 2), (0, 7), (1, 2), (3, 4), (3, 7), (5, 6), (5, 7)]",5,2,2
"this blue blue apple liked a blue curious ancient robot","[(0, 3), (0, 4), (0, 9), (1, 2), (1, 3), (5, 9), (6, 8), (6, 9), (7, 8)]","[(0, 3), (0, 4), (0, 7), (0, 8), (0, 9), (1, 2), (1, 3), (5, 7), (6, 7)]",5,4,4
