idx,in_lexicon,grammatical,novel,text
0,1,1,0,"a telescope saw"
1,1,1,0,"the cat liked"
2,1,1,1,"a lazy small dog admired the quick small woman"
3,1,1,0,"the dog saw the woman"
4,1,1,0,"the dog liked"
5,1,1,0,"the park chased"
6,1,1,0,"a woman found"
7,1,1,1,"a lazy red small man liked"
8,1,1,0,"the lazy quick telescope chased"
9,1,1,1,"the man found a big red telescope on the cat"
10,1,1,1,"the telescope liked the big quick park in a park"
11,1,1,0,"the dog liked"
12,1,1,1,"a cat saw the lazy small telescope"
13,1,1,1,"a big quick man chased"
14,1,1,0,"the lazy lazy dog liked"
15,1,1,0,"a red small cat admired"
16,1,0,1,"the small red telescope chased the the lazy lazy park saw"
17,1,1,0,"a cat saw the big quick man"
18,1,1,0,"a dog saw"
19,1,1,0,"the lazy lazy dog liked"
20,1,1,1,"a cat found the big big cat"
21,1,1,0,"the red quick woman saw the woman"
22,1,1,1,"the small red telescope chased the lazy small lazy telescope"
23,1,1,1,"the woman admired the woman with the park"
24,1,1,0,"the telescope liked a cat in a quick red woman"
25,1,1,1,"the quick quick woman chased a dog under a man"
26,1,1,1,"a cat found the big big cat"
27,1,1,0,"the quick quick woman found the lazy small telescope"
28,1,1,0,"a big quick park liked the big lazy park"
29,1,1,1,"a cat admired the quick quick big park"
30,1,1,1,"the dog admired the red small park with the park"
31,1,1,0,"the big quick cat found"
32,1,1,1,"a cat admired the cat"
33,1,1,1,"the man chased the man"
34,1,1,0,"a red quick cat chased a big red man"
35,1,1,1,"a quick quick woman chased the dog"
36,1,1,1,"the woman admired the red lazy big park"
37,1,1,1,"a red quick cat chased a dog"
38,1,1,0,"the cat saw"
39,1,1,0,"a big big cat chased"
40,1,1,0,"the lazy big quick woman admired"
41,1,1,0,"the cat saw a lazy small dog in the park"
42,1,1,0,"a woman found"
43,1,1,0,"a woman found"
44,1,1,0,"a man saw the telescope with a lazy small woman"
45,1,1,0,"a cat saw a cat"
46,1,1,0,"a quick quick telescope chased a red small man"
47,1,1,1,"the man saw the cat on a park"
48,1,1,0,"a dog chased"
49,1,1,1,"the lazy quick lazy man chased"
