sentence,step,n_pairs,n_admitted,top_span,is_gold
"that tall tall tall boy admired near this apple",0,8,8,"(7, 8)",1
"that tall tall tall boy admired near this apple",1,7,7,"(1, 3)",1
"that tall tall tall boy admired near this apple",2,6,6,"(7, 8)",1
"that tall tall tall boy admired near this apple",3,5,5,"(7, 8)",1
"that tall tall tall boy admired near this apple",4,4,4,"(7, 8)",1
"that tall tall tall boy admired near this apple",5,3,3,"(6, 8)",1
"that tall tall tall boy admired near this apple",6,2,2,"(0, 5)",1
"that tall tall tall boy admired near this apple",7,1,1,"(0, 8)",1
"this curious curious book admired without the tall blue apple",0,9,9,"(7, 8)",1
"this curious curious book admired without the tall blue apple",1,8,8,"(1, 3)",1
"this curious curious book admired without the tall blue apple",2,7,7,"(0, 3)",1
"this curious curious book admired without the tall blue apple",3,6,6,"(7, 8)",1
"this curious curious book admired without the tall blue apple",4,5,5,"(7, 9)",1
"this curious curious book admired without the tall blue apple",5,4,4,"(6, 9)",1
"this curious curious book admired without the tall blue apple",6,3,3,"(5, 9)",1
"this curious curious book admired without the tall blue apple",7,2,2,"(4, 9)",0
"this curious curious book admired without the tall blue apple",8,1,1,"(0, 9)",1
"the robot liked this girl",0,4,4,"(0, 1)",1
"the robot liked this girl",1,3,3,"(3, 4)",1
"the robot liked this girl",2,2,2,"(0, 2)",1
"the robot liked this girl",3,1,1,"(0, 4)",1
"that blue curious teacher chased this robot",0,6,6,"(5, 6)",1
"that blue curious teacher chased this robot",1,5,5,"(5, 6)",1
"that blue curious teacher chased this robot",2,4,4,"(5, 6)",1
"that blue curious teacher chased this robot",3,3,3,"(5, 6)",1
"that blue curious teacher chased this robot",4,2,2,"(0, 4)",1
"that blue curious teacher chased this robot",5,1,1,"(0, 6)",1
"a boy liked with that book",0,5,5,"(0, 1)",1
"a boy liked with that book",1,4,4,"(4, 5)",1
"a boy liked with that book",2,3,3,"(3, 5)",1
"a boy liked with that book",3,2,2,"(0, 2)",1
"a boy liked with that book",4,1,1,"(0, 5)",1
"the boy admired without the blue tall tall book",0,8,8,"(0, 1)",1
"the boy admired without the blue tall tall book",1,7,7,"(5, 6)",0
"the boy admired without the blue tall tall book",2,6,6,"(5, 7)",1
"the boy admired without the blue tall tall book",3,5,5,"(4, 7)",0
"the boy admired without the blue tall tall book",4,4,4,"(4, 8)",1
"the boy admired without the blue tall tall book",5,3,3,"(3, 8)",1
"the boy admired without the blue tall tall book",6,2,2,"(0, 2)",1
"the boy admired without the blue tall tall book",7,1,1,"(0, 8)",1
"a apple admired without that curious ancient boy",0,7,7,"(5, 6)",1
"a apple admired without that curious ancient boy",1,6,6,"(5, 6)",1
"a apple admired without that curious ancient boy",2,5,5,"(5, 7)",1
"a apple admired without that curious ancient boy",3,4,4,"(4, 7)",1
"a apple admired without that curious ancient boy",4,3,3,"(3, 7)",1
"a apple admired without that curious ancient boy",5,2,2,"(0, 2)",1
"a apple admired without that curious ancient boy",6,1,1,"(0, 7)",1
"this apple carried with a friendly curious curious teacher",0,8,8,"(0, 1)",1
"this apple carried with a friendly curious curious teacher",1,7,7,"(6, 7)",1
"this apple carried with a friendly curious curious teacher",2,6,6,"(5, 7)",1
"this apple carried with a friendly curious curious teacher",3,5,5,"(4, 7)",0
"this apple carried with a friendly curious curious teacher",4,4,4,"(4, 8)",1
"this apple carried with a friendly curious curious teacher",5,3,3,"(3, 8)",1
"this apple carried with a friendly curious curious teacher",6,2,2,"(0, 2)",1
"this apple carried with a friendly curious curious teacher",7,1,1,"(0, 8)",1
"that girl admired this curious blue girl",0,6,6,"(4, 5)",1
"that girl admired this curious blue girl",1,5,5,"(4, 5)",1
"that girl admired this curious blue girl",2,4,4,"(4, 6)",1
"that girl admired this curious blue girl",3,3,3,"(3, 6)",1
"that girl admired this curious blue girl",4,2,2,"(2, 6)",0
"that girl admired this curious blue girl",5,1,1,"(0, 6)",1
"that blue friendly teacher carried the friendly blue robot",0,8,8,"(1, 2)",1
"that blue friendly teacher carried the friendly blue robot",1,7,7,"(1, 3)",1
