idx,sentence,mask_pos,gold,gold_pos,filled,filled_pos,completed,exact,pos_ok
0,"that tall tall tall boy admired near this apple",4,boy,N,robot,N,"that tall tall tall robot admired near this apple",0,1
1,"this curious curious book admired without the tall blue apple",5,without,P,near,P,"this curious curious book admired near the tall blue apple",0,1
2,"the robot liked this girl",2,liked,V,read,V,"the robot read this girl",0,1
3,"that blue curious teacher chased this robot",3,teacher,N,girl,N,"that blue curious girl chased this robot",0,1
4,"a boy liked with that book",3,with,P,with,P,"a boy liked with that book",1,1
5,"the boy admired without the blue tall tall book",4,the,Det,a,Det,"the boy admired without a blue tall tall book",0,1
6,"a apple admired without that curious ancient boy",4,that,RelPro,the,Det,"a apple admired without the curious ancient boy",0,0
7,"this apple carried with a friendly curious curious teacher",4,a,Det,the,Det,"this apple carried with the friendly curious curious teacher",0,1
8,"that girl admired this curious blue girl",3,this,Det,this,Det,"that girl admired this curious blue girl",1,1
9,"that blue friendly teacher carried the friendly blue robot",4,carried,V,liked,V,"that blue friendly teacher liked the friendly blue robot",0,1
10,"that curious friendly friendly book liked without the book",4,book,N,apple,N,"that curious friendly friendly apple liked without the book",0,1
11,"a book admired this blue ancient book",3,this,Det,the,Det,"a book admired the blue ancient book",0,1
12,"this robot read without that ancient curious curious book",4,that,RelPro,curious,Adj,"this robot read without curious ancient curious curious book",0,0
13,"a teacher carried a teacher",2,carried,V,liked,V,"a teacher liked a teacher",0,1
14,"the curious tall robot chased that boy",3,robot,N,apple,N,"the curious tall apple chased that boy",0,1
15,"the girl chased the robot",2,chased,V,read,V,"the girl read the robot",0,1
16,"the apple saw the tall tall robot",3,the,Det,this,Det,"the apple saw this tall tall robot",0,1
17,"a girl read the tall tall teacher",3,the,Det,a,Det,"a girl read a tall tall teacher",0,1
18,"this apple liked without that girl",3,without,P,near,P,"this apple liked near that girl",0,1
19,"that teacher admired near the book",3,near,P,that,RelPro,"that teacher admired that the book",0,0
20,"that apple saw this book",2,saw,V,saw,V,"that apple saw this book",1,1
21,"this apple carried near the teacher",3,near,P,near,P,"this apple carried near the teacher",1,1
22,"a girl saw near the book",3,near,P,with,P,"a girl saw with the book",0,1
23,"that ancient blue boy saw a ancient friendly book",4,saw,V,admired,V,"that ancient blue boy admired a ancient friendly book",0,1
24,"the ancient curious robot liked this teacher",3,robot,N,apple,N,"the ancient curious apple liked this teacher",0,1
25,"the apple carried this tall curious teacher",3,this,Det,this,Det,"the apple carried this tall curious teacher",1,1
26,"this girl read a friendly friendly friendly apple",4,friendly,Adj,tall,Adj,"this girl read a tall friendly friendly apple",0,1
27,"this curious curious girl liked near a boy",4,liked,V,saw,V,"this curious curious girl saw near a boy",0,1
28,"this blue blue girl liked without that girl",4,liked,V,read,V,"this blue blue girl read without that girl",0,1
29,"that book liked with the boy",3,with,P,with,P,"that book liked with the boy",1,1
