idx,sentence,mask_pos,gold,gold_pos,filled,filled_pos,completed,exact,pos_ok
0,"the man chases a dog",2,chases,V,runs,V,"the man runs a dog",0,1
1,"the dog likes",1,dog,N,man,N,"the man likes",0,1
2,"a cat likes a man",2,likes,V,runs,V,"a cat runs a man",0,1
3,"a dog runs",1,dog,N,man,N,"a man runs",0,1
4,"the woman runs a cat",2,runs,V,chases,V,"the woman chases a cat",0,1
5,"the dog runs",1,dog,N,cat,N,"the cat runs",0,1
6,"the dog likes the man",2,likes,V,runs,V,"the dog runs the man",0,1
7,"a man chases the man",2,chases,V,likes,V,"a man likes the man",0,1
8,"a woman likes the cat",2,likes,V,likes,V,"a woman likes the cat",1,1
9,"the cat runs",1,cat,N,cat,N,"the cat runs",1,1
10,"a dog likes a cat",2,likes,V,runs,V,"a dog runs a cat",0,1
11,"a dog likes the cat",2,likes,V,runs,V,"a dog runs the cat",0,1
12,"the dog likes a cat",2,likes,V,chases,V,"the dog chases a cat",0,1
13,"a man runs the dog",2,runs,V,chases,V,"a man chases the dog",0,1
14,"the cat runs the woman",2,runs,V,chases,V,"the cat chases the woman",0,1
15,"the dog likes the cat",2,likes,V,runs,V,"the dog runs the cat",0,1
16,"a cat likes",1,cat,N,cat,N,"a cat likes",1,1
17,"a woman likes a dog",2,likes,V,sees,V,"a woman sees a dog",0,1
18,"the man sees the dog",2,sees,V,runs,V,"the man runs the dog",0,1
19,"a cat chases a woman",2,chases,V,runs,V,"a cat runs a woman",0,1
20,"a woman likes the man",2,likes,V,runs,V,"a woman runs the man",0,1
21,"a cat chases the man",2,chases,V,sees,V,"a cat sees the man",0,1
22,"a cat sees",1,cat,N,woman,N,"a woman sees",0,1
23,"a man likes a dog",2,likes,V,sees,V,"a man sees a dog",0,1
24,"the man runs the man",2,runs,V,chases,V,"the man chases the man",0,1
25,"a man sees the woman",2,sees,V,chases,V,"a man chases the woman",0,1
26,"the cat likes the man",2,likes,V,sees,V,"the cat sees the man",0,1
27,"the woman likes",1,woman,N,man,N,"the man likes",0,1
28,"the woman runs",1,woman,N,cat,N,"the cat runs",0,1
29,"the man chases a woman",2,chases,V,runs,V,"the man runs a woman",0,1
