sentence,step,n_pairs,n_admitted,top_span,is_gold
"the man chases a dog",0,4,4,"(0, 1)",1
"the man chases a dog",1,3,3,"(3, 4)",1
"the man chases a dog",2,2,2,"(0, 2)",1
"the man chases a dog",3,1,1,"(0, 4)",1
"the dog likes",0,2,2,"(0, 1)",1
"the dog likes",1,1,1,"(0, 2)",1
"a cat likes a man",0,4,4,"(3, 4)",1
"a cat likes a man",1,3,3,"(3, 4)",1
"a cat likes a man",2,2,2,"(0, 2)",1
"a cat likes a man",3,1,1,"(0, 4)",1
"a dog runs",0,2,2,"(0, 1)",1
"a dog runs",1,1,1,"(0, 2)",1
"the woman runs a cat",0,4,4,"(3, 4)",1
"the woman runs a cat",1,3,3,"(3, 4)",1
"the woman runs a cat",2,2,2,"(0, 2)",1
"the woman runs a cat",3,1,1,"(0, 4)",1
"the dog runs",0,2,2,"(0, 1)",1
"the dog runs",1,1,1,"(0, 2)",1
"the dog likes the man",0,4,4,"(0, 1)",1
"the dog likes the man",1,3,3,"(0, 2)",1
"the dog likes the man",2,2,2,"(0, 2)",1
"the dog likes the man",3,1,1,"(0, 4)",1
"a man chases the man",0,4,4,"(3, 4)",1
"a man chases the man",1,3,3,"(3, 4)",1
"a man chases the man",2,2,2,"(0, 2)",1
"a man chases the man",3,1,1,"(0, 4)",1
"a woman likes the cat",0,4,4,"(3, 4)",1
"a woman likes the cat",1,3,3,"(3, 4)",1
"a woman likes the cat",2,2,2,"(0, 2)",1
"a woman likes the cat",3,1,1,"(0, 4)",1
"the cat runs",0,2,2,"(0, 1)",1
"the cat runs",1,1,1,"(0, 2)",1
"a dog likes a cat",0,4,4,"(3, 4)",1
"a dog likes a cat",1,3,3,"(3, 4)",1
"a dog likes a cat",2,2,2,"(0, 2)",1
"a dog likes a cat",3,1,1,"(0, 4)",1
"a dog likes the cat",0,4,4,"(0, 1)",1
"a dog likes the cat",1,3,3,"(3, 4)",1
"a dog likes the cat",2,2,2,"(0, 2)",1
"a dog likes the cat",3,1,1,"(0, 4)",1
"the dog likes a cat",0,4,4,"(0, 1)",1
"the dog likes a cat",1,3,3,"(3, 4)",1
"the dog likes a cat",2,2,2,"(0, 2)",1
"the dog likes a cat",3,1,1,"(0, 4)",1
"a man runs the dog",0,4,4,"(3, 4)",1
"a man runs the dog",1,3,3,"(3, 4)",1
"a man runs the dog",2,2,2,"(0, 2)",1
"a man runs the dog",3,1,1,"(0, 4)",1
"the cat runs the woman",0,4,4,"(3, 4)",1
"the cat runs the woman",1,3,3,"(3, 4)",1
"the cat runs the woman",2,2,2,"(0, 2)",1
"the cat runs the woman",3,1,1,"(0, 4)",1
"the dog likes the cat",0,4,4,"(0, 1)",1
"the dog likes the cat",1,3,3,"(3, 4)",1
"the dog likes the cat",2,2,2,"(0, 2)",1
"the dog likes the cat",3,1,1,"(0, 4)",1
"a cat likes",0,2,2,"(0, 1)",1
"a cat likes",1,1,1,"(0, 2)",1
"a woman likes a dog",0,4,4,"(0, 1)",1
"a woman likes a dog",1,3,3,"(3, 4)",1
"a woman likes a dog",2,2,2,"(0, 2)",1
"a woman likes a dog",3,1,1,"(0, 4)",1
"the man sees the dog",0,4,4,"(3, 4)",1
"the man sees the dog",1,3,3,"(3, 4)",1
"the man sees the dog",2,2,2,"(0, 2)",1
"the man sees the dog",3,1,1,"(0, 4)",1
"a cat chases a woman",0,4,4,"(3, 4)",1
"a cat chases a woman",1,3,3,"(3, 4)",1
"a cat chases a woman",2,2,2,"(0, 2)",1
"a cat chases a woman",3,1,1,"(0, 4)",1
"a woman likes the man",0,4,4,"(0, 1)",1
"a woman likes the man",1,3,3,"(3, 4)",1
"a woman likes the man",2,2,2,"(0, 2)",1
"a woman likes the man",3,1,1,"(0, 4)",1
"a cat chases the man",0,4,4,"(0, 1)",1
"a cat chases the man",1,3,3,"(3, 4)",1
"a cat chases the man",2,2,2,"(0, 2)",1
"a cat chases the man",3,1,1,"(0, 4)",1
"a cat sees",0,2,2,"(0, 1)",1
"a cat sees",1,1,1,"(0, 2)",1
"a man likes a dog",0,4,4,"(3, 4)",1
"a man likes a dog",1,3,3,"(3, 4)",1
"a man likes a dog",2,2,2,"(0, 2)",1
"a man likes a dog",3,1,1,"(0, 4)",1
"the man runs the man",0,4,4,"(0, 1)",1
"the man runs the man",1,3,3,"(0, 2)",1
"the man runs the man",2,2,2,"(0, 2)",1
"the man runs the man",3,1,1,"(0, 4)",1
"a man sees the woman",0,4,4,"(3, 4)",1
"a man sees the woman",1,3,3,"(3, 4)",1
"a man sees the woman",2,2,2,"(0, 2)",1
"a man sees the woman",3,1,1,"(0, 4)",1
"the cat likes the man",0,4,4,"(0, 1)",1
"the cat likes the man",1,3,3,"(3, 4)",1
"the cat likes the man",2,2,2,"(0, 2)",1
"the cat likes the man",3,1,1,"(0, 4)",1
"the woman likes",0,2,2,"(0, 1)",1
"the woman likes",1,1,1,"(0, 2)",1
"the woman runs",0,2,2,"(0, 1)",1
"the woman runs",1,1,1,"(0, 2)",1
"the man chases a woman",0,4,4,"(0, 1)",1
"the man chases a woman",1,3,3,"(3, 4)",1
"the man chases a woman",2,2,2,"(0, 2)",1
"the man chases a woman",3,1,1,"(0, 4)",1
"the cat likes a cat",0,4,4,"(3, 4)",1
"the cat likes a cat",1,3,3,"(3, 4)",1
"the cat likes a cat",2,2,2,"(0, 2)",1
"the cat likes a cat",3,1,1,"(0, 4)",1
"the dog chases a man",0,4,4,"(0, 1)",1
"the dog chases a man",1,3,3,"(3, 4)",1
"the dog chases a man",2,2,2,"(0, 2)",1
"the dog chases a man",3,1,1,"(0, 4)",1
"the cat chases the dog",0,4,4,"(3, 4)",1
"the cat chases the dog",1,3,3,"(3, 4)",1
"the cat chases the dog",2,2,2,"(0, 2)",1
"the cat chases the dog",3,1,1,"(0, 4)",1
"the woman chases the dog",0,4,4,"(3, 4)",1
"the woman chases the dog",1,3,3,"(3, 4)",1
"the woman chases the dog",2,2,2,"(0, 2)",1
"the woman chases the dog",3,1,1,"(0, 4)",1
"a cat chases a man",0,4,4,"(3, 4)",1
"a cat chases a man",1,3,3,"(3, 4)",1
"a cat chases a man",2,2,2,"(0, 2)",1
"a cat chases a man",3,1,1,"(0, 4)",1
"the cat likes the cat",0,4,4,"(3, 4)",1
"the cat likes the cat",1,3,3,"(3, 4)",1
"the cat likes the cat",2,2,2,"(0, 2)",1
"the cat likes the cat",3,1,1,"(0, 4)",1
"a dog sees",0,2,2,"(0, 1)",1
"a dog sees",1,1,1,"(0, 2)",1
"a cat chases a dog",0,4,4,"(0, 1)",1
"a cat chases a dog",1,3,3,"(3, 4)",1
"a cat chases a dog",2,2,2,"(2, 4)",0
"a cat chases a dog",3,1,1,"(0, 4)",1
"the man chases the woman",0,4,4,"(3, 4)",1
"the man chases the woman",1,3,3,"(3, 4)",1
"the man chases the woman",2,2,2,"(0, 2)",1
"the man chases the woman",3,1,1,"(0, 4)",1
"a woman sees the cat",0,4,4,"(3, 4)",1
"a woman sees the cat",1,3,3,"(3, 4)",1
"a woman sees the cat",2,2,2,"(0, 2)",1
"a woman sees the cat",3,1,1,"(0, 4)",1
