idx,in_lexicon,grammatical,novel,text
0,1,1,0,"the woman runs the woman"
1,1,1,0,"the cat likes a woman"
2,1,1,0,"the man chases a cat"
3,1,1,1,"a dog chases a man"
4,1,1,0,"the man runs a cat"
5,1,1,0,"a dog likes"
6,1,1,0,"a dog likes a woman"
7,1,1,0,"the man chases a cat"
8,1,1,0,"a woman chases"
9,1,1,0,"the man runs a man"
10,1,1,0,"the woman likes the dog"
11,1,1,0,"a man likes a cat"
12,1,1,1,"a dog sees the cat"
13,1,1,0,"a dog chases the woman"
14,1,1,0,"the woman likes the dog"
15,1,1,0,"a dog likes the dog"
16,1,1,0,"the cat sees"
17,1,1,0,"a man chases"
18,1,1,0,"the cat sees a woman"
19,1,1,0,"a woman runs a woman"
20,1,1,0,"a woman sees a man"
21,1,1,0,"the woman sees a man"
22,1,1,0,"a dog chases the man"
23,1,1,0,"the woman sees"
24,1,1,0,"a cat likes a woman"
25,1,1,0,"the man chases the man"
26,1,1,0,"the woman runs the woman"
27,1,1,0,"the dog sees the cat"
28,1,1,0,"the dog sees"
29,1,1,0,"a man runs a cat"
30,1,1,0,"a cat runs"
31,1,1,0,"the cat sees a dog"
32,1,1,0,"a dog chases"
33,1,1,0,"the cat sees a woman"
34,1,1,0,"a cat sees a cat"
35,1,1,0,"a woman likes the dog"
36,1,1,0,"the dog sees a man"
37,1,1,0,"the cat chases a man"
38,1,1,0,"the dog chases"
39,1,1,0,"a dog runs the woman"
40,1,1,0,"the dog sees"
41,1,1,0,"the cat sees the woman"
42,1,1,0,"a woman chases the dog"
43,1,1,0,"the cat likes a dog"
44,1,1,0,"the cat sees"
45,1,1,0,"a dog sees the dog"
46,1,1,0,"a man sees a cat"
47,1,1,0,"the dog chases"
48,1,1,0,"a man sees a dog"
49,1,1,1,"the dog sees the woman"
