idx,sentence,mask_pos,gold,gold_pos,filled,filled_pos,completed,exact,pos_ok
0,"the telescope liked the telescope under the woman",4,telescope,N,dog,N,"the telescope liked the dog under the woman",0,1
1,"a big big man found",2,big,Adj,lazy,Adj,"a big lazy man found",0,1
2,"a small red small dog liked the park",4,dog,N,dog,N,"a small red small dog liked the park",1,1
3,"a telescope found",1,telescope,N,dog,N,"a dog found",0,1
4,"the lazy lazy quick man chased",3,quick,Adj,lazy,Adj,"the lazy lazy lazy man chased",0,1
5,"a quick red telescope saw the quick lazy woman",4,saw,V,liked,V,"a quick red telescope liked the quick lazy woman",0,1
6,"the park chased a woman",2,chased,V,liked,V,"the park liked a woman",0,1
7,"the man liked a park with the dog",4,park,N,dog,N,"the man liked a dog with the dog",0,1
8,"the telescope found a big red dog under a cat",5,red,Adj,quick,Adj,"the telescope found a big quick dog under a cat",0,1
9,"the woman liked a big lazy quick big woman",4,big,Adj,lazy,Adj,"the woman liked a lazy lazy quick big woman",0,1
10,"a cat found a small big dog",3,a,Det,a,Det,"a cat found a small big dog",1,1
11,"a small lazy man chased",2,lazy,Adj,red,Adj,"a small red man chased",0,1
12,"a quick quick telescope chased a red small man",4,chased,V,liked,V,"a quick quick telescope liked a red small man",0,1
13,"the telescope liked a cat in a quick red woman",5,in,P,saw,V,"the telescope liked a cat saw a quick red woman",0,0
14,"the telescope chased a small lazy telescope in a dog",5,lazy,Adj,lazy,Adj,"the telescope chased a small lazy telescope in a dog",1,1
15,"a cat saw the quick quick telescope on a park",5,quick,Adj,big,Adj,"a cat saw the quick big telescope on a park",0,1
16,"the small small park liked",2,small,Adj,small,Adj,"the small small park liked",1,1
17,"the quick lazy lazy telescope saw a red quick man",5,saw,V,admired,V,"the quick lazy lazy telescope admired a red quick man",0,1
18,"the woman chased",1,woman,N,park,N,"the park chased",0,1
19,"a big red quick dog admired the red small woman",5,admired,V,liked,V,"a big red quick dog liked the red small woman",0,1
20,"a dog admired the small small dog",3,the,Det,a,Det,"a dog admired a small small dog",0,1
21,"the lazy lazy quick man chased a quick big telescope",5,chased,V,saw,V,"the lazy lazy quick man saw a quick big telescope",0,1
22,"a red small dog admired",2,small,Adj,red,Adj,"a red red dog admired",0,1
23,"the red lazy big cat admired",3,big,Adj,small,Adj,"the red lazy small cat admired",0,1
24,"the big lazy woman chased the dog",3,woman,N,woman,N,"the big lazy woman chased the dog",1,1
25,"the dog saw the red small park",3,the,Det,the,Det,"the dog saw the red small park",1,1
26,"the red big woman liked a woman",3,woman,N,cat,N,"the red big cat liked a woman",0,1
27,"the small small telescope found a small red woman",4,found,V,liked,V,"the small small telescope liked a small red woman",0,1
28,"the park chased a lazy small dog in a dog",5,small,Adj,lazy,Adj,"the park chased a lazy lazy dog in a dog",0,1
29,"a woman chased the dog",2,chased,V,liked,V,"a woman liked the dog",0,1
