idx,in_lexicon,grammatical,novel,text
0,1,1,0,"a big quick park liked the big lazy park"
1,1,1,0,"the park admired the woman with a big quick man"
2,1,1,0,"a woman admired the park"
3,1,1,0,"a woman admired the park"
4,1,1,0,"a woman liked the man with a park"
5,1,1,1,"a red quick park chased"
6,1,1,0,"the dog admired"
7,1,1,0,"a cat saw a quick red woman"
8,1,1,1,"a telescope found the dog in the telescope"
9,1,1,1,"the woman liked a small lazy dog in a dog"
10,1,1,0,"the man saw"
11,1,0,1,"small red chased a red lazy small cat"
12,1,1,0,"a dog liked"
13,1,1,0,"a lazy red park admired"
14,1,1,1,"the lazy small man admired a cat on a telescope"
15,1,1,0,"a park admired the cat"
16,1,0,1,"the lazy lazy woman cat chased a dog"
17,1,1,0,"a man found the big big cat"
18,1,1,1,"the quick quick telescope admired the cat on the cat"
19,1,1,0,"the dog admired"
20,1,1,0,"the red big dog liked"
21,1,1,0,"the dog saw the dog"
22,1,1,1,"the red quick telescope admired the cat on the cat"
23,1,1,0,"a man found the big big cat"
24,1,1,0,"the dog saw a man in the man"
25,1,1,0,"a woman liked a dog with a man"
26,1,1,1,"the park chased the big lazy man in a telescope"
27,1,1,0,"the lazy big quick woman admired"
28,1,0,1,"the dog liked the on the dog cat in a telescope"
29,1,1,0,"a small lazy park found the small big woman"
30,1,1,0,"a woman chased a dog"
31,1,1,0,"the cat chased the woman on the lazy red woman"
32,1,1,0,"a woman admired the park"
33,1,1,1,"the park liked"
34,1,1,0,"the big quick cat found"
35,1,1,0,"a red quick cat chased a big red man"
36,1,0,1,"the lazy quick found"
37,1,1,0,"a lazy lazy park found the lazy small lazy telescope"
38,1,1,0,"the telescope chased"
39,1,1,1,"the lazy small park saw the quick quick quick cat"
40,1,1,1,"a telescope chased"
41,1,1,0,"the man found"
42,1,1,0,"a park chased the telescope"
43,1,1,0,"the park chased the small red red telescope"
44,1,1,0,"a park liked a man"
45,1,1,0,"the red red small telescope chased"
46,1,1,1,"the quick quick woman chased a dog under a park"
47,1,1,0,"the dog liked"
48,1,1,0,"a big big cat chased"
49,1,1,0,"a woman admired a small red park"
