sentence,step,n_pairs,n_admitted,top_span,is_gold
"the telescope liked the telescope under the woman",0,7,7,"(0, 1)",1
"the telescope liked the telescope under the woman",1,6,6,"(6, 7)",1
"the telescope liked the telescope under the woman",2,5,5,"(6, 7)",1
"the telescope liked the telescope under the woman",3,4,4,"(0, 2)",1
"the telescope liked the telescope under the woman",4,3,3,"(0, 2)",1
"the telescope liked the telescope under the woman",5,2,2,"(0, 4)",1
"the telescope liked the telescope under the woman",6,1,1,"(0, 7)",1
"a big big man found",0,4,4,"(1, 2)",1
"a big big man found",1,3,3,"(1, 3)",1
"a big big man found",2,2,2,"(0, 3)",1
"a big big man found",3,1,1,"(0, 4)",1
"a small red small dog liked the park",0,7,7,"(6, 7)",1
"a small red small dog liked the park",1,6,6,"(6, 7)",1
"a small red small dog liked the park",2,5,5,"(6, 7)",1
"a small red small dog liked the park",3,4,4,"(6, 7)",1
"a small red small dog liked the park",4,3,3,"(6, 7)",1
"a small red small dog liked the park",5,2,2,"(0, 5)",1
"a small red small dog liked the park",6,1,1,"(0, 7)",1
"a telescope found",0,2,2,"(0, 1)",1
"a telescope found",1,1,1,"(0, 2)",1
"the lazy lazy quick man chased",0,5,5,"(2, 3)",1
"the lazy lazy quick man chased",1,4,4,"(1, 3)",1
"the lazy lazy quick man chased",2,3,3,"(1, 4)",1
"the lazy lazy quick man chased",3,2,2,"(0, 4)",1
"the lazy lazy quick man chased",4,1,1,"(0, 5)",1
"a quick red telescope saw the quick lazy woman",0,8,8,"(6, 7)",1
"a quick red telescope saw the quick lazy woman",1,7,7,"(6, 7)",1
"a quick red telescope saw the quick lazy woman",2,6,6,"(6, 7)",1
"a quick red telescope saw the quick lazy woman",3,5,5,"(6, 7)",1
"a quick red telescope saw the quick lazy woman",4,4,4,"(6, 8)",1
"a quick red telescope saw the quick lazy woman",5,3,3,"(5, 8)",1
"a quick red telescope saw the quick lazy woman",6,2,2,"(0, 4)",1
"a quick red telescope saw the quick lazy woman",7,1,1,"(0, 8)",1
"the park chased a woman",0,4,4,"(0, 1)",1
"the park chased a woman",1,3,3,"(3, 4)",1
"the park chased a woman",2,2,2,"(0, 2)",1
"the park chased a woman",3,1,1,"(0, 4)",1
"the man liked a park with the dog",0,7,7,"(0, 1)",1
"the man liked a park with the dog",1,6,6,"(6, 7)",1
"the man liked a park with the dog",2,5,5,"(6, 7)",1
"the man liked a park with the dog",3,4,4,"(5, 7)",1
"the man liked a park with the dog",4,3,3,"(0, 2)",1
"the man liked a park with the dog",5,2,2,"(0, 4)",1
"the man liked a park with the dog",6,1,1,"(0, 7)",1
"the telescope found a big red dog under a cat",0,9,9,"(0, 1)",1
"the telescope found a big red dog under a cat",1,8,8,"(8, 9)",1
"the telescope found a big red dog under a cat",2,7,7,"(8, 9)",1
"the telescope found a big red dog under a cat",3,6,6,"(8, 9)",1
"the telescope found a big red dog under a cat",4,5,5,"(8, 9)",1
"the telescope found a big red dog under a cat",5,4,4,"(0, 2)",1
"the telescope found a big red dog under a cat",6,3,3,"(0, 2)",1
"the telescope found a big red dog under a cat",7,2,2,"(0, 6)",1
