sentence,gold_brackets,pred_brackets,tp,fp,fn
"the telescope liked the telescope under the woman","[(0, 1), (0, 2), (0, 4), (0, 7), (3, 4), (5, 7), (6, 7)]","[(0, 1), (0, 2), (0, 4), (0, 7), (3, 4), (5, 7), (6, 7)]",7,0,0
"a big big man found","[(0, 3), (0, 4), (1, 2), (1, 3)]","[(0, 3), (0, 4), (1, 2), (1, 3)]",4,0,0
"a small red small dog liked the park","[(0, 4), (0, 5), (0, 7), (1, 3), (1, 4), (2, 3), (6, 7)]","[(0, 4), (0, 5), (0, 7), (1, 3), (1, 4), (2, 3), (6, 7)]",7,0,0
"a telescope found","[(0, 1), (0, 2)]","[(0, 1), (0, 2)]",2,0,0
"the lazy lazy quick man chased","[(0, 4), (0, 5), (1, 3), (1, 4), (2, 3)]","[(0, 4), (0, 5), (1, 3), (1, 4), (2, 3)]",5,0,0
"a quick red telescope saw the quick lazy woman","[(0, 3), (0, 4), (0, 8), (1, 2), (1, 3), (5, 8), (6, 7), (6, 8)]","[(0, 3), (0, 4), (0, 8), (1, 2), (1, 3), (5, 8), (6, 7), (6, 8)]",8,0,0
"the park chased a woman","[(0, 1), (0, 2), (0, 4), (3, 4)]","[(0, 1), (0, 2), (0, 4), (3, 4)]",4,0,0
"the man liked a park with the dog","[(0, 1), (0, 2), (0, 4), (0, 7), (3, 4), (5, 7), (6, 7)]","[(0, 1), (0, 2), (0, 4), (0, 7), (3, 4), (5, 7), (6, 7)]",7,0,0
"the telescope found a big red dog under a cat","[(0, 1), (0, 2), (0, 6), (0, 9), (3, 6), (4, 5), (4, 6), (7, 9), (8, 9)]","[(0, 1), (0, 2), (0, 6), (0, 7), (0, 9), (3, 6), (4, 5), (4, 6), (8, 9)]",8,1,1
"the woman liked a big lazy quick big woman","[(0, 1), (0, 2), (0, 8), (3, 8), (4, 7), (4, 8), (5, 7), (6, 7)]","[(0, 1), (0, 2), (0, 8), (3, 8), (4, 8), (5, 8), (6, 7), (6, 8)]",6,2,2
