idx,in_lexicon,grammatical,novel,text
0,1,1,0,"a man sees the dog"
1,1,1,0,"a woman sees the woman"
2,1,1,0,"a man likes the cat"
3,1,1,0,"the cat sees the dog"
4,1,1,0,"a cat runs a woman"
5,1,1,0,"the man runs"
6,1,1,0,"a man likes the cat"
7,1,1,0,"a woman sees the woman"
8,1,1,1,"the woman runs the dog"
9,1,1,0,"a woman likes the cat"
10,1,1,0,"a woman runs a man"
11,1,1,0,"the man likes the cat"
12,1,1,0,"a cat sees"
13,1,1,0,"the cat likes a cat"
14,1,1,0,"a dog runs"
15,1,1,0,"a woman chases the dog"
16,1,1,0,"a dog chases a cat"
17,1,1,0,"a woman likes the dog"
18,1,1,0,"a woman runs a woman"
19,1,1,0,"a woman sees"
20,1,1,0,"a woman chases the dog"
21,1,1,0,"a cat runs a man"
22,1,1,1,"the woman sees the woman"
23,1,1,0,"a cat sees"
24,1,1,0,"a woman sees a dog"
25,1,1,0,"a woman runs a woman"
26,1,1,0,"a dog likes the dog"
27,1,1,0,"the dog chases the man"
28,1,1,0,"a woman runs a woman"
29,1,1,0,"the man chases"
30,1,1,0,"the woman sees a cat"
31,1,1,0,"a man likes a woman"
32,1,1,0,"the woman runs the cat"
33,1,1,0,"the woman likes the woman"
34,1,1,0,"the woman chases a woman"
35,1,1,0,"a cat likes the cat"
36,1,1,0,"the dog chases a man"
37,1,1,0,"the cat sees the dog"
38,1,1,0,"a cat likes the woman"
39,1,1,0,"a cat chases a dog"
40,1,1,0,"a woman sees the cat"
41,1,1,0,"the man chases a dog"
42,1,1,0,"a dog likes"
43,1,1,0,"the woman runs the cat"
44,1,1,0,"a cat likes"
45,1,1,0,"the woman runs the cat"
46,1,1,0,"a man chases"
47,1,1,1,"the woman sees the cat"
48,1,1,0,"a cat likes the dog"
49,1,1,0,"a cat likes a woman"
